| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Diagonale_Hd  | ARGLINA    | 1000   | 0.03617429733276367    | 2      | 99.99999957090597        | 2.7741984057194635e-12  | 4        | 5        | 0        | 0         | ----     |
| QPS-Diagonale1    | ARGLINA    | 1000   | 0.01625370979309082    | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINA    | 1000   | 0.01622629165649414    | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINA    | 1000   | 0.016169071197509766   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINA    | 1000   | 0.01620030403137207    | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINA    | 1000   | 0.016127586364746094   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINA    | 1000   | 0.016083478927612305   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINA    | 1000   | 0.01607060432434082    | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINA    | 1000   | 0.01607370376586914    | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Newton        | ARGLINA    | 1000   | 0.020308494567871094   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.018878698348999023   | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.028827190399169922   | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.02685236930847168    | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale_Hd  | ARGLINB    | 1000   | 281.5135521888733      | 5000   | 274.6251661087073        | 0.115695521235466       | 157977   | 14995    | 0        | 0         | ----     |
| QPS-Diagonale1    | ARGLINB    | 1000   | 580.7348783016205      | 5000   | 274.62516865117766       | 14372.988351868466      | 398455   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINB    | 1000   | 650.5175724029541      | 5000   | 274.625168513175         | 14372.423452390358      | 447554   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINB    | 1000   | 528.8127748966217      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361024   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINB    | 1000   | 588.8062160015106      | 5000   | 274.6251682133009        | 1850.4168962668628      | 404915   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINB    | 1000   | 527.5536775588989      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINB    | 1000   | 527.9554042816162      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINB    | 1000   | 488.43748116493225     | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINB    | 1000   | 485.7877857685089      | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Newton        | ARGLINB    | 1000   | 125.1074767112732      | 5000   | 274.62516857050804       | 770.7826096192002       | 74653    | 5001     | 0        | 0         | ----     |
