| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton  | 10FOLDTR   | 1000   | 0.00012087821960449219 | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINA    | 200    | 0.0020723342895507812  | 1      | 199.9999999999971        | 6.546752723268767e-11   | 7        | 2        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINB    | 200    | 93.63440799713135      | 5000   | 99.62546815488466        | 8.355354214669205       | 488685   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINC    | 200    | 0.020942211151123047   | 5      | 101.12547050577928       | 0.00044240319402888417  | 155      | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 200    | 0.5994551181793213     | 316    | 8.590155973120745e-10    | 0.0008551566934142441   | 6000     | 317      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.01183462142944336    | 3      | 0.13934828605074298      | 0.0007925076268579307   | 29       | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.0378108024597168     | 4      | -1864.5379265658437      | 1.0099969660615216e-07  | 48       | 5        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10     | 0.0036308765411376953  | 10     | 1.9206503444938336e-07   | 0.00011305173029618983  | 106      | 11       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0024313926696777344  | 0      | 1250833399.7059925       | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNAL    | 200    | 0.0034132003784179688  | 2      | 3.8059352965478405e-08   | 0.00038210435316368094  | 34       | 3        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNALE   | 200    | 7.390975952148438e-05  | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.05788755416870117    | 21     | 3.5455249309648146e-08   | 0.0005860733499330383   | 278      | 22       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDNBDLS | 5000   | 0.2263476848602295     | 50     | 4.405913270217273e-08    | 0.000952291233826677    | 728      | 51       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQAD   | 100    | 7.070139408111572      | 324    | 0.008717755526643        | 0.0008504481214405488   | 7540     | 325      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQADNE | 100    | 9.179115295410156e-05  | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNROSNB   | 50     | 0.09361410140991211    | 237    | 8.127518317570448e-08    | 0.000825068132714736    | 3060     | 238      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNRSNBM   | 50     | 0.13943171501159668    | 335    | 9.949045744816942e-08    | 0.0006917520092572604   | 4744     | 336      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEA   | 4970   | 1.3327429294586182     | 307    | -0.012545087293473499    | 0.000984102257456735    | 3406     | 308      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY30    | 10000  | 46.45716881752014      | 5000   | -1003162.1706484027      | 0.1063669941467609      | 64134    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CVXBQP1    | 10000  | 6.874885320663452      | 2270   | 1.198215393603254e-06    | 0.0009988301781465236   | 23128    | 2271     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLIC3    | 100002 | 0.002980470657348633   | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLIC3LS  | 100002 | 384.0085995197296      | 5000   | 104146.4105000141        | 35693.74371898342       | 56979    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCFLS | 29996  | 123.1325318813324      | 5000   | 1681.7315228991115       | 2.5320132595314613      | 56436    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCTLS | 29996  | 143.68063020706177     | 5000   | 1696.0027235389653       | 1.770644159215165       | 56467    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGDIAG    | 100001 | 0.039177894592285156   | 2      | 6.018591261520874e-31    | 3.469446951953614e-18   | 19       | 3        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGTRID    | 100001 | 0.7337775230407715     | 18     | -99999.4999785384        | 0.0009633346778565866   | 213      | 19       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARWHEAD    | 5000   | 0.014401912689208984   | 4      | 0.0                      | 9.348595571414455e-05   | 51       | 5        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDQRTIC    | 100    | 0.02349996566772461    | 52     | 378.7691919571506        | 0.0007758411547260646   | 682      | 53       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN7D   | 5000   | 8.206142902374268      | 1382   | 1997.1665386992888       | 0.0009467525051734399   | 15257    | 1383     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRYBND     | 5000   | 0.22550201416015625    | 50     | 4.405913270217273e-08    | 0.000952291233826677    | 728      | 51       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHAINWOO   | 4000   | 0.7315688133239746     | 215    | 11.334848204843142       | 0.00097274409803072     | 2735     | 216      | 0        | 0         | ----     |
