| Algorithm          | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|--------------------+-----------+-------+------------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| NESTEROV           | ARWHEAD   | 5000  | 0.8290982246398926     | 291    | 2.7873234609288033e-08  | 0.0008179004355869312  | 589      | 583      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | ARWHEAD   | 5000  | 0.05901050567626953    | 9      | 5.460618186181598e-05   | 0.0005120322431908519  | 122      | 11       | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | ARWHEAD   | 5000  | 0.06648588180541992    | 7      | 1.6095014210293357e-11  | 0.0007788310107890631  | 61       | 49       | 2        | --        | --       |
| NESTEROV-bs_lbfgs  | ARWHEAD   | 5000  | 0.6985321044921875     | 119    | 3.865573695416291e-05   | 0.0004307850637461641  | 1226     | 121      | 1        | --        | --       |
| NESTEROV-bs_Newton | ARWHEAD   | 5000  | 4.277967691421509      | 729    | 4.018795733196079e-06   | 0.0008269343578056427  | 8405     | 730      | 0        | --        | --       |
| scipy_lbfgs        | ARWHEAD   | 5000  | 0.033988237380981445   | 12     | 6.459095702737727e-09   | 0.0007540852963052447  | 14       | 14       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BDQRTIC   | 100   | 0.8081173896789551     | 4980   | 378.769191878655        | 0.0009903409814547444  | 9964     | 9961     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BDQRTIC   | 100   | 0.04910469055175781    | 105    | 378.76919203081627      | 0.000940367829927069   | 752      | 107      | 16       | --        | --       |
| NESTEROV-bs_dfbox1 | BDQRTIC   | 100   | 0.07250070571899414    | 98     | 378.7691919021216       | 0.0009956061210734137  | 740      | 681      | 14       | --        | --       |
| NESTEROV-bs_lbfgs  | BDQRTIC   | 100   | 1.1307623386383057     | 913    | 378.7691918259109       | 0.0009672972246301537  | 9785     | 915      | 5        | --        | --       |
| NESTEROV-bs_Newton | BDQRTIC   | 100   | 0.37777042388916016    | 392    | 378.76919199335686      | 0.0009100544692878647  | 4841     | 393      | 1        | --        | --       |
| scipy_lbfgs        | BDQRTIC   | 100   | 0.006482601165771484   | 37     | 378.7691918359752       | 0.0008471415135242466  | 41       | 41       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BROYDN7D  | 5000  | 11.74747610092163      | 2481   | 2090.680102190264       | 0.0009545463224631299  | 4965     | 4963     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BROYDN7D  | 5000  | 0.1927051544189453     | 43     | 3441.3459129434395      | 0.0006061020722203381  | 211      | 45       | 8        | --        | --       |
| NESTEROV-bs_dfbox1 | BROYDN7D  | 5000  | 88.11251759529114      | 3756   | 1864.1456871409684      | 0.00045122354477038803 | 41617    | 43647    | 166      | --        | --       |
| NESTEROV-bs_lbfgs  | BROYDN7D  | 5000  | 28.69484305381775      | 5000   | 2961.505710627811       | 1.4366602499945933     | 50239    | 5002     | 0        | --        | --       |
| NESTEROV-bs_Newton | BROYDN7D  | 5000  | 0.49135541915893555    | 76     | 3441.345914021133       | 0.0009257899505672462  | 932      | 77       | 0        | --        | --       |
| scipy_lbfgs        | BROYDN7D  | 5000  | 3.392822504043579      | 1634   | 1988.601037401036       | 0.0007008963137673518  | 1675     | 1675     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BRYBND    | 5000  | 1.2697339057922363     | 637    | 1.6839308150744586e-08  | 0.0008237180451079293  | 1278     | 1275     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BRYBND    | 5000  | 0.16588211059570312    | 66     | 4.984280232840438e-07   | 0.0009975754861393466  | 464      | 68       | 10       | --        | --       |
| NESTEROV-bs_dfbox1 | BRYBND    | 5000  | 0.21524524688720703    | 25     | 4.624820821134683e-09   | 0.0005218695146661691  | 217      | 223      | 3        | --        | --       |
| NESTEROV-bs_lbfgs  | BRYBND    | 5000  | 0.12200379371643066    | 28     | 6.98607264135822e-07    | 0.0009468820569927734  | 345      | 30       | 1        | --        | --       |
| NESTEROV-bs_Newton | BRYBND    | 5000  | 0.35439562797546387    | 83     | 1.548975426849146e-08   | 0.0004286863201960538  | 1088     | 84       | 0        | --        | --       |
| scipy_lbfgs        | BRYBND    | 5000  | 0.03784513473510742    | 22     | 6.832638193845875e-07   | 0.0009881969267761873  | 25       | 25       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CHAINWOO  | 4000  | 7.253414869308472      | 5000   | 12.421744921167113      | 0.007752125758904661   | 10002    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CHAINWOO  | 4000  | 0.7394776344299316     | 440    | 1.0000008992955023      | 0.0008111635341851553  | 2450     | 442      | 79       | --        | --       |
| NESTEROV-bs_dfbox1 | CHAINWOO  | 4000  | 51.629982471466064     | 5000   | 15098.85796538374       | 14.883252516445511     | 49975    | 48705    | 422      | --        | --       |
| NESTEROV-bs_lbfgs  | CHAINWOO  | 4000  | 8.89159893989563       | 1520   | 1.0000006904552632      | 0.0005114038221407657  | 16292    | 1522     | 6        | --        | --       |
| NESTEROV-bs_Newton | CHAINWOO  | 4000  | 4.383855104446411      | 718    | 1.0000008401303513      | 0.0009503657450213865  | 9038     | 719      | 0        | --        | --       |
| scipy_lbfgs        | CHAINWOO  | 4000  | 7.985882759094238      | 5000   | 10334.27956342311       | 13.257870554912        | 5398     | 5398     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CLPLATEB  | 4970  | 0.0023565292358398438  | 0      | 0.0                     | 0.012037356830860726   | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CLPLATEB  | 4970  | 0.010355949401855469   | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 21       | 6        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | CLPLATEB  | 4970  | 15.606542825698853     | 2246   | -0.004102483179492949   | 0.000999840035919851   | 9450     | 9444     | 450      | --        | --       |
| NESTEROV-bs_lbfgs  | CLPLATEB  | 4970  | 0.01266622543334961    | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 13       | 6        | 1        | --        | --       |
| NESTEROV-bs_Newton | CLPLATEB  | 4970  | 0.06185293197631836    | 8      | -0.0001848066675744285  | 0.0007779878647288662  | 92       | 9        | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEB  | 4970  | 0.018143177032470703   | 2      | -0.0001261852420210387  | 0.0007400626523288994  | 5        | 5        | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | CLPLATEC  | 4970  | 0.0036966800689697266  | 0      | 0.0                     | 0.09900505037623081    | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | CLPLATEC  | 4970  | 1.764854907989502      | 370    | -8.010856156803726e-05  | 0.0009667921401874022  | 2210     | 372      | 74       | --        | --       |
| NESTEROV-bs_dfbox1 | CLPLATEC  | 4970  | 28.659709215164185     | 5000   | -0.0005535244671562662  | 0.014886804180889758   | 34428    | 21013    | 1000     | --        | --       |
| NESTEROV-bs_lbfgs  | CLPLATEC  | 4970  | 1.3091304302215576     | 434    | -8.227637594918812e-05  | 0.0009494840086473231  | 2539     | 436      | 69       | --        | --       |
| NESTEROV-bs_Newton | CLPLATEC  | 4970  | 26.16102361679077      | 5000   | -5.336218359151339e-05  | 0.00235955053301168    | 54302    | 5001     | 0        | --        | --       |
| scipy_lbfgs        | CLPLATEC  | 4970  | 7.875544548034668      | 5000   | -0.00401897974443495    | 0.010285066707587434   | 5132     | 5132     | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | COSINE    | 10000 | 0.06968832015991211    | 19     | -9998.999999999918      | 9.843596658460196e-05  | 51       | 39       | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | COSINE    | 10000 | 0.03183293342590332    | 6      | -9998.999999999998      | 5.5603675864157307e-05 | 53       | 8        | 1        | --        | --       |
| NESTEROV-bs_dfbox1 | COSINE    | 10000 | 266.0313997268677      | 5000   | -9998.999999999976      | 2.256022029669191      | 185672   | 21147    | 998      | --        | --       |
| NESTEROV-bs_lbfgs  | COSINE    | 10000 | 0.05330491065979004    | 6      | -9998.999999933632      | 0.00024113183296839573 | 55       | 8        | 1        | --        | --       |
| NESTEROV-bs_Newton | COSINE    | 10000 | 0.10930609703063965    | 10     | -9998.999999868127      | 0.0007081626182463189  | 128      | 11       | 0        | --        | --       |
| scipy_lbfgs        | COSINE    | 10000 | 0.06791996955871582    | 9      | -9998.999999997803      | 0.00013859219885436656 | 18       | 18       | nan      | nan       | nan      |
