| Algorithm          | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|--------------------+-----------+-------+------------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| NESTEROV           | ARWHEAD   | 5000  | 0.45122456550598145    | 291    | 2.7873234609288033e-08  | 0.0008179004355869312  | 589      | 583      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | ARWHEAD   | 5000  | 0.02936553955078125    | 8      | 1.4013762372755423e-09  | 2.5935306227076182e-06 | 109      | 10       | 2        | --        | --       |
| NESTEROV-bs_dfbox1 | ARWHEAD   | 5000  | 0.04985833168029785    | 8      | 3.0709287113239725e-08  | 1.214239894764546e-05  | 87       | 63       | 2        | --        | --       |
| NESTEROV-bs_lbfgs  | ARWHEAD   | 5000  | 0.36634206771850586    | 119    | 3.865573695416291e-05   | 0.0004307850637461641  | 1226     | 121      | 1        | --        | --       |
| NESTEROV-bs_Newton | ARWHEAD   | 5000  | 2.363056182861328      | 729    | 4.018795733196079e-06   | 0.0008269343578056427  | 8405     | 730      | 0        | --        | --       |
| scipy_lbfgs        | ARWHEAD   | 5000  | 0.018223047256469727   | 12     | 6.459095702737727e-09   | 0.0007540852963052447  | 14       | 14       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BDQRTIC   | 100   | 0.4078993797302246     | 4980   | 378.769191878655        | 0.0009903409814547444  | 9964     | 9961     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BDQRTIC   | 100   | 0.5777337551116943     | 3023   | 378.7691918488093       | 0.0009992261665967613  | 12241    | 3025     | 2        | --        | --       |
| NESTEROV-bs_dfbox1 | BDQRTIC   | 100   | 0.7253499031066895     | 2620   | 378.76919187487704      | 0.0009982715625804451  | 10660    | 13256    | 2        | --        | --       |
| NESTEROV-bs_lbfgs  | BDQRTIC   | 100   | 0.567091703414917      | 913    | 378.7691918259109       | 0.0009672972246301537  | 9785     | 915      | 5        | --        | --       |
| NESTEROV-bs_Newton | BDQRTIC   | 100   | 0.18106365203857422    | 392    | 378.76919199335686      | 0.0009100544692878647  | 4841     | 393      | 1        | --        | --       |
| scipy_lbfgs        | BDQRTIC   | 100   | 0.003201723098754883   | 37     | 378.7691918359752       | 0.0008471415135242466  | 41       | 41       | nan      | nan       | nan      |
| --                 | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV           | BROYDN7D  | 5000  | 7.869227886199951      | 2481   | 2090.680102190264       | 0.0009545463224631299  | 4965     | 4963     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox  | BROYDN7D  | 5000  | 1.594724178314209      | 47     | 3441.3459133820497      | 0.000669594838098142   | 3619     | 49       | 0        | --        | --       |
| NESTEROV-bs_dfbox1 | BROYDN7D  | 5000  | 204.17115235328674     | 1641   | 1921.6064594868212      | 0.0006941108267350948  | 122441   | 124082   | 0        | --        | --       |
| NESTEROV-bs_lbfgs  | BROYDN7D  | 5000  | 26.626004457473755     | 5000   | 2961.505710627811       | 1.4366602499945933     | 50239    | 5002     | 0        | --        | --       |
| NESTEROV-bs_Newton | BROYDN7D  | 5000  | 0.48465943336486816    | 76     | 3441.345914021133       | 0.0009257899505672462  | 932      | 77       | 0        | --        | --       |
