| Algorithm   | prob       | n      | t                     | n_it   | f_opt                   | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+-----------------------+--------+-------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton  | ARGLINA    | 1000   | 0.03649449348449707   | 3      | 99.99999957090634       | 6.624908954755426e-14   | 7        | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 525.6660580635071     | 5000   | 274.62516881791106      | 5015.04563052021        | 360428   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 414.4003105163574     | 5000   | 276.1251691521572       | 2475.055756322108       | 280940   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 181.21217894554138    | 5000   | 7.647747271565942e-05   | 0.595049447120831       | 91304    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.004723310470581055  | 1      | 0.0                     | 0.0                     | 2        | 2        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOX        | 10000  | 55.88022971153259     | 5000   | -1479.1648435632276     | 54.37110536499809       | 74450    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 7.258745431900024     | 3055   | 0.047098172449321934    | 0.0009846595565778937   | 24135    | 3056     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0018415451049804688 | 0      | -inf                    | 5003999.999680006       | 2        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.433943510055542     | 17     | 3.2016899616993977e-09  | 0.00011747197277701882  | 279      | 18       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.3014495372772217    | 195    | 1.407812139956809       | 0.00029982468004871777  | 984      | 196      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDNBDLS | 5000   | 0.058793067932128906  | 25     | 9.811974689670185e-08   | 0.0002948658705336832   | 118      | 26       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQAD   | 1000   | 683.3993594646454     | 5000   | nan                     | nan                     | 10001    | 5001     | 5000     | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNRSNBM   | 1000   | 2.9388914108276367    | 5000   | 714.2964589943675       | 4.814434147682046       | 30277    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEA   | 4970   | 0.6185190677642822    | 313    | -0.0068345034069112855  | 0.0008350992278495228   | 881      | 314      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY30    | 10000  | 61.046711921691895    | 5000   | -1003108.8321228503     | 4.263014355902948       | 87349    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CVXBQP1    | 10000  | 24.775487184524536    | 5000   | 0.2776440123583686      | 5.302949229415121       | 89071    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLIC3LS  | 100002 | 427.6318690776825     | 5000   | 38302907893.68707       | 225031388.69945964      | 93033    | 5001     | 0        | 0         | ----     |
