| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton  | ARGLINA    | 1000   | 0.0363154411315918     | 3      | 99.99999957090634        | 6.624908954755426e-14   | 7        | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 530.9286594390869      | 5000   | 274.6251689820299        | 14328.195220869035      | 364659   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 423.0786521434784      | 5000   | 276.12516877207133       | 15691.190186190419      | 289248   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 157.36988258361816     | 5000   | 1.713279675776742e-05    | 0.06484575010634853     | 68391    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.004457712173461914   | 1      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOX        | 10000  | 15.251008987426758     | 2319   | -1864.5379104995818      | 0.0009545576966560887   | 18226    | 2320     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 3.6174259185791016     | 1457   | 0.047098445456414506     | 0.0009607662548060669   | 12348    | 1458     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0018157958984375     | 0      | -inf                     | 5003999.999680006       | 2        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.06511163711547852    | 5      | 6.655501480826492e-11    | 1.656668307039757e-05   | 32       | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.30843210220336914    | 224    | 1.4985502762522454       | 0.0009491439641976518   | 1163     | 225      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDNBDLS | 5000   | 0.043741703033447266   | 23     | 5.695027336297034e-07    | 0.0008189263797997406   | 93       | 24       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQAD   | 1000   | 701.4205188751221      | 5000   | nan                      | nan                     | 10001    | 5001     | 5000     | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNRSNBM   | 1000   | 3.007793426513672      | 5000   | 711.722075736108         | 1.7933800298781883      | 29937    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEA   | 4970   | 0.5768170356750488     | 313    | -0.0068345034069112855   | 0.0008350992278495228   | 881      | 314      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY30    | 10000  | 33.46399903297424      | 5000   | -1003136.500086154       | 1.0623819542573898      | 42994    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CVXBQP1    | 10000  | 14.777794122695923     | 5000   | 0.011893913210938259     | 2.334605709615598       | 49414    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLIC3LS  | 100002 | 251.4294774532318      | 5000   | 91119164.69647081        | 1210605.7334711407      | 48633    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCFLS | 29996  | 39.74343156814575      | 5000   | 4531.453027666898        | 2.909374445742418       | 19510    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCTLS | 29996  | 39.39807200431824      | 5000   | 4475.674885035661        | 4.020251945048209       | 19484    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGDIAG    | 100001 | 0.026149749755859375   | 3      | 6.92478888083953e-24     | 1.176836406102666e-14   | 7        | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGTRID    | 100001 | 0.2624211311340332     | 23     | -99999.49996513054       | 0.0008851623607406545   | 31       | 24       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARWHEAD    | 5000   | 1.3245656490325928     | 469    | 7.746213989134887e-07    | 0.0009119925104658822   | 4574     | 470      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDQRTIC    | 5000   | 13.520164728164673     | 5000   | 20006.256878769058       | 0.01758293304303161     | 46255    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN7D   | 5000   | 15.68875002861023      | 5000   | 2178.367403420295        | 1.4474280011567655      | 21171    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRYBND     | 5000   | 0.04438328742980957    | 23     | 5.695027336297034e-07    | 0.0008189263797997406   | 93       | 24       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHAINWOO   | 4000   | 3.996260166168213      | 1719   | 16.560675996734737       | 0.0009928049973931844   | 13727    | 1720     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEB   | 4970   | 0.020685195922851562   | 13     | -0.00025707201658773716  | 0.0007801333315824915   | 27       | 14       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEC   | 4970   | 7.173832893371582      | 1373   | -8.289745606953122e-05   | 0.000990734195166581    | 15429    | 1374     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | COSINE     | 10000  | 136.40971541404724     | 5000   | -9998.999929033393       | 32.08527367502583       | 137437   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CRAGGLVY   | 5000   | 0.7381124496459961     | 272    | 1688.2153105158327       | 0.000959918210267259    | 1157     | 273      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY10    | 10000  | 17.145852088928223     | 5000   | -1003156.3848719595      | 0.12507233851366406     | 40543    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY20    | 10000  | 23.868972063064575     | 5000   | -1003147.2531686542      | 0.503255761267476       | 41933    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGTRID2   | 100001 | 0.2646369934082031     | 23     | -99999.49996513054       | 0.0008851623607406545   | 31       | 24       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQB    | 1000   | 1.2182464599609375     | 5000   | nan                      | nan                     | 9996     | 5001     | 4995     | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQE    | 1000   | 1.2125697135925293     | 5000   | nan                      | nan                     | 10091    | 5001     | 4992     | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQT    | 1000   | 1.2054507732391357     | 5000   | nan                      | nan                     | 10078    | 5001     | 4992     | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQB    | 1000   | 0.0012068748474121094  | 5      | -inf                     | 7.822474764956125e+136  | 7        | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQE    | 1000   | 0.0012369155883789062  | 5      | -inf                     | 7.567116580802333e+134  | 7        | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQT    | 1000   | 0.0012202262878417969  | 5      | -inf                     | 1.2014373223925118e+133 | 7        | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQB    | 1000   | 2.1107821464538574     | 5000   | -272.0242973382474       | 6.993629364407836       | 32636    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQE    | 1000   | 0.5930755138397217     | 1261   | -3.742734935186999       | 0.0009950270462738553   | 9672     | 1262     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQT    | 1000   | 2.166759490966797      | 5000   | -56.2199329658083        | 5.453684416426263       | 34037    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANA1  | 3000   | 0.006072282791137695   | 9      | 1.0000026202959673       | 8.194698857382673e-05   | 28       | 10       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANB   | 3000   | 0.007889032363891602   | 9      | 1.0000010655196552       | 0.0007533531925559211   | 22       | 10       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANC   | 3000   | 0.006706714630126953   | 8      | 1.0000028568524844       | 0.00033072916621879663  | 17       | 9        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAAND   | 3000   | 0.009386301040649414   | 11     | 1.0000011677725917       | 0.00014676916405439858  | 27       | 12       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANE1  | 3000   | 0.04827594757080078    | 103    | 1.0011793895350705       | 0.0009217195045239025   | 135      | 104      | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANF   | 3000   | 0.029207944869995117   | 43     | 1.0016530279691076       | 0.000912654106688272    | 61       | 44       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANG   | 3000   | 0.012296438217163086   | 18     | 1.0010544069510956       | 0.0007492702964399095   | 25       | 19       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANH   | 3000   | 0.05915975570678711    | 89     | 1.0063210968050618       | 0.0009922053516031174   | 120      | 90       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANI1  | 3000   | 0.044667720794677734   | 96     | 1.0240510319691412       | 0.0009813759662023508   | 119      | 97       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANJ   | 3000   | 0.05093717575073242    | 76     | 1.0018510228622126       | 0.00044547689512033304  | 105      | 77       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANK   | 3000   | 0.014078617095947266   | 21     | 1.000209050736383        | 0.0009024937306449915   | 27       | 22       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANL   | 3000   | 0.04062032699584961    | 63     | 2.028025423518061        | 0.0008719210460843821   | 77       | 64       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
