| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Diagonale1    | ARGLINA    | 1000   | 0.028915882110595703   | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINA    | 1000   | 0.016554594039916992   | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINA    | 1000   | 0.016499757766723633   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINA    | 1000   | 0.016498804092407227   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Newton        | ARGLINA    | 1000   | 0.020622730255126953   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.019219160079956055   | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.02903270721435547    | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.026621103286743164   | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGLINB    | 1000   | 573.3185513019562      | 5000   | 274.6251687823794        | 24127.13335011527       | 395142   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINB    | 1000   | 560.818033695221       | 5000   | 274.6251688087367        | 24128.29542742297       | 385943   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINB    | 1000   | 545.4781172275543      | 5000   | 274.6251682544415        | 0.8444103822112083      | 375437   | 5001     | 0        | 0         | ----     |
