| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Diagonale1    | ARGLINA    | 1000   | 0.028598546981811523   | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINA    | 1000   | 0.016272783279418945   | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINA    | 1000   | 0.016146421432495117   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINA    | 1000   | 0.016217708587646484   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINA    | 1000   | 0.016082286834716797   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINA    | 1000   | 0.016135215759277344   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINA    | 1000   | 0.016104698181152344   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINA    | 1000   | 0.016072750091552734   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Newton        | ARGLINA    | 1000   | 0.02028203010559082    | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.01890397071838379    | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.028790950775146484   | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.026780366897583008   | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGLINB    | 1000   | 579.0417907238007      | 5000   | 274.62516865117766       | 14372.988351868466      | 398455   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINB    | 1000   | 648.8573322296143      | 5000   | 274.625168513175         | 14372.423452390358      | 447554   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINB    | 1000   | 527.4992549419403      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361024   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINB    | 1000   | 590.0077278614044      | 5000   | 274.6251682133009        | 1850.4168962668628      | 404915   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINB    | 1000   | 527.8895554542542      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINB    | 1000   | 527.3847744464874      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINB    | 1000   | 487.90124320983887     | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINB    | 1000   | 487.86148142814636     | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Newton        | ARGLINB    | 1000   | 125.19275236129761     | 5000   | 274.62516857050804       | 770.7826096192002       | 74653    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 508.2369763851166      | 5000   | 274.6251694238765        | 9327.24446508661        | 347613   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINB    | 1000   | 0.2895658016204834     | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg          | ARGLINB    | 1000   | 0.06082725524902344    | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGLINC    | 1000   | 454.43715953826904     | 5000   | 276.12516887655556       | 15151.420290074544      | 309666   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINC    | 1000   | 522.4727210998535      | 5000   | 276.12516886876006       | 15150.688311378472      | 358826   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINC    | 1000   | 450.2052323818207      | 5000   | 276.1251676992854        | 70.02956162649207       | 307474   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINC    | 1000   | 465.9459686279297      | 5000   | 276.1251678887605        | 15.600149559555575      | 318274   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINC    | 1000   | 417.86891412734985     | 5000   | 276.12516788189345       | 269.9138305913657       | 308413   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINC    | 1000   | 416.1445415019989      | 5000   | 276.12516788189345       | 269.9138305913657       | 308413   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINC    | 1000   | 345.6548664569855      | 5000   | 276.12516841606526       | 27.514263783581555      | 253934   | 5001     | 0        | 0         | ----     |
