| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Diagonale1    | ARGLINA    | 1000   | 0.028638839721679688   | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINA    | 1000   | 0.01626873016357422    | 2      | 99.99999957090623        | 1.2194759091421759e-13  | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINA    | 1000   | 0.01618671417236328    | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINA    | 1000   | 0.016484975814819336   | 2      | 99.9999995709048         | 8.030295178818037e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINA    | 1000   | 0.01657271385192871    | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINA    | 1000   | 0.016002416610717773   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINA    | 1000   | 0.016002893447875977   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINA    | 1000   | 0.015993118286132812   | 2      | 99.99999957090337        | 8.361800835077204e-14   | 4        | 3        | 0        | 0         | ----     |
| QPS-Newton        | ARGLINA    | 1000   | 0.020168781280517578   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.01879715919494629    | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.02860236167907715    | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.02670431137084961    | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGLINB    | 1000   | 578.497394323349       | 5000   | 274.62516865117766       | 14372.988351868466      | 398455   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINB    | 1000   | 646.992888212204       | 5000   | 274.625168513175         | 14372.423452390358      | 447554   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINB    | 1000   | 526.5168216228485      | 5000   | 274.6251678951818        | 0.08380894176661968     | 361024   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINB    | 1000   | 588.5197834968567      | 5000   | 274.6251682133009        | 1850.4168962668628      | 404915   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINB    | 1000   | 526.327151298523       | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINB    | 1000   | 527.767324924469       | 5000   | 274.6251678951818        | 0.08380894176661968     | 361026   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINB    | 1000   | 486.14259696006775     | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINB    | 1000   | 485.3301820755005      | 5000   | 274.62516827258975       | 300.7688475959003       | 332181   | 5001     | 0        | 0         | ----     |
| QPS-Newton        | ARGLINB    | 1000   | 124.77946019172668     | 5000   | 274.62516857050804       | 770.7826096192002       | 74653    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 508.4917027950287      | 5000   | 274.6251694238765        | 9327.24446508661        | 347613   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINB    | 1000   | 0.28820061683654785    | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg          | ARGLINB    | 1000   | 0.06136441230773926    | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGLINC    | 1000   | 451.01822662353516     | 5000   | 276.12516887655556       | 15151.420290074544      | 309666   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGLINC    | 1000   | 519.6847085952759      | 5000   | 276.12516886876006       | 15150.688311378472      | 358826   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGLINC    | 1000   | 448.7788302898407      | 5000   | 276.1251676992854        | 70.02956162649207       | 307474   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGLINC    | 1000   | 463.75281620025635     | 5000   | 276.1251678887605        | 15.600149559555575      | 318274   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGLINC    | 1000   | 449.596009016037       | 5000   | 276.12516788189345       | 269.9138305913657       | 308413   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGLINC    | 1000   | 449.19896364212036     | 5000   | 276.12516788189345       | 269.9138305913657       | 308413   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGLINC    | 1000   | 373.6672058105469      | 5000   | 276.12516841606526       | 27.514263783581555      | 253934   | 5001     | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGLINC    | 1000   | 373.766482591629       | 5000   | 276.12516841606526       | 27.514263783581555      | 253934   | 5001     | 0        | 0         | ----     |
| QPS-Newton        | ARGLINC    | 1000   | 155.16001749038696     | 5000   | 276.1251698779882        | 1823.897481009597       | 96942    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 387.2311508655548      | 5000   | 276.1251685480462        | 2345.0967052760534      | 263646   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINC    | 1000   | 0.26217079162597656    | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg          | ARGLINC    | 1000   | 0.04118466377258301    | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Diagonale1    | ARGTRIGLS  | 1000   | 32.015666484832764     | 1633   | 4.5483426793895425e-10   | 0.0009470248731688996   | 1643     | 1634     | 0        | 0         | ----     |
| QPS-Diagonale2    | ARGTRIGLS  | 1000   | 31.97385573387146      | 1627   | 2.0766607545524718e-10   | 0.0008447920464231469   | 1637     | 1628     | 0        | 0         | ----     |
| QPS-Diagonale3    | ARGTRIGLS  | 1000   | 31.824016094207764     | 1625   | 1.4165736728646075e-10   | 0.0007548048623253151   | 1635     | 1626     | 0        | 0         | ----     |
| QPS-Diagonale4    | ARGTRIGLS  | 1000   | 31.888541221618652     | 1624   | 1.8180048437029617e-10   | 0.0008149704804972798   | 1634     | 1625     | 0        | 0         | ----     |
| QPS-Diagonale5    | ARGTRIGLS  | 1000   | 103.00598883628845     | 5000   | 6.05951334118375e-07     | 0.006153618740724727    | 10414    | 5001     | 0        | 0         | ----     |
| QPS-Diagonale6    | ARGTRIGLS  | 1000   | 102.71937489509583     | 5000   | 1.080788271601944e-06    | 0.01020049859886407     | 10088    | 5001     | 0        | 0         | ----     |
| QPS-Diagonale7    | ARGTRIGLS  | 1000   | 97.75110006332397      | 5000   | 52.084376852007374       | 794.3735716111363       | 5010     | 5001     | 0        | 0         | ----     |
| QPS-Diagonale8    | ARGTRIGLS  | 1000   | 97.76006078720093      | 5000   | 53.01231999696603        | 789.7182598873751       | 5010     | 5001     | 0        | 0         | ----     |
