| Algorithm   | prob       | n      | t                     | n_it   | f_opt                   | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+-----------------------+--------+-------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton  | ARGLINA    | 1000   | 0.03124094009399414   | 2      | 99.99999957090331       | 8.465537298940617e-14   | 8        | 3        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 460.28609442710876    | 5000   | 274.6251689517605       | 7272.171167321503       | 320212   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 358.0633227825165     | 5000   | 276.12516967421374      | 6705.759670581901       | 248005   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 32.30237627029419     | 1566   | 4.33517920851116e-11    | 0.0009969635168190604   | 6264     | 1567     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.012995481491088867  | 6      | 0.18679201299664225     | 0.0004554535222731607   | 24       | 7        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.0395510196685791    | 9      | -1864.5379265609265     | 0.00037756311228775985  | 44       | 10       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 0.010334253311157227  | 7      | 0.04711154024833501     | 0.00027458310206968095  | 30       | 8        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0023810863494873047 | 0      | -inf                    | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.05768728256225586   | 5      | 1.058524746180306e-11   | 7.428454308611165e-05   | 26       | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.023142099380493164  | 21     | 4.0837667672817164e-08  | 0.0006370275544671363   | 84       | 22       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDNBDLS | 5000   | 0.03837728500366211   | 22     | 2.403367996432624e-07   | 0.0008025302984796365   | 89       | 23       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQAD   | 1000   | 3790.583039522171     | 5000   | 0.007717955747057034    | 0.005244312587216249    | 38830    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNRSNBM   | 1000   | 2.0350306034088135    | 5000   | 2.5207763027514795e-06  | 0.007978538766591686    | 20017    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEA   | 4970   | 0.5689396858215332    | 303    | -0.012519524960546808   | 0.0008922147334953362   | 1215     | 304      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY30    | 10000  | 16.616929531097412    | 5000   | -1003162.1493138656     | 0.10848887119598241     | 20011    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CVXBQP1    | 10000  | 2.845702886581421     | 2131   | 1.5206711628202905e-06  | 0.0009236194283284175   | 8526     | 2132     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLIC3LS  | 100002 | 116.57080841064453    | 5000   | 61660.11488120438       | 1766.315884667914       | 20570    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCFLS | 29996  | 35.45615530014038     | 5000   | 1932.8994657583012      | 2.5561177378961335      | 20593    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CYCLOOCTLS | 29996  | 35.685710430145264    | 5000   | 1981.5960331800372      | 3.5928093781236154      | 20600    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGDIAG    | 100001 | 0.030680179595947266  | 3      | 2.1526296077292956e-18  | 6.561414606087723e-12   | 13       | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGTRID    | 100001 | 0.29278087615966797   | 18     | -99999.49999173329      | 0.0009116967440423451   | 72       | 19       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | ARWHEAD    | 5000   | 0.005788326263427734  | 4      | 0.000204440021015162    | 0.0009906565053205973   | 16       | 5        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BDQRTIC    | 5000   | 1.711139440536499     | 1237   | 20006.256878558343      | 0.0007600128849208261   | 4962     | 1238     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN7D   | 5000   | 3.6456916332244873    | 1411   | 2007.3618246510996      | 0.0006333757178033084   | 5644     | 1412     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | BRYBND     | 5000   | 0.03694343566894531   | 22     | 2.403367996432624e-07   | 0.0008025302984796365   | 89       | 23       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CHAINWOO   | 4000   | 0.3972799777984619    | 313    | 1.0000000426456277      | 0.0008412769232591483   | 1260     | 314      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEB   | 4970   | 0.17717695236206055   | 97     | -0.00489842805749606    | 0.0009959069541466614   | 388      | 98       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEC   | 4970   | 6.780320167541504     | 3617   | -0.005020677552006663   | 0.0009865379517077187   | 14468    | 3618     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | COSINE     | 10000  | 0.022641897201538086  | 8      | -9998.999999997612      | 0.00016652842927069388  | 32       | 9        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CRAGGLVY   | 5000   | 0.30648183822631836   | 78     | 1688.2153101045812      | 0.0009984377983511816   | 509      | 79       | 1        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY10    | 10000  | 9.132770299911499     | 5000   | -1003162.6781251043     | 0.029809396405946112    | 20002    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | CURLY20    | 10000  | 12.425157070159912    | 5000   | -1003162.4169085829     | 0.08198498067885947     | 20002    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DEGTRID2   | 100001 | 0.2938556671142578    | 18     | -99999.49999173329      | 0.0009116967440423451   | 72       | 19       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQB    | 1000   | 0.14899516105651855   | 504    | -inf                    | 4.068402683141664e+154  | 2017     | 505      | 1        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQE    | 1000   | 1.6457533836364746    | 5000   | nan                     | nan                     | 24514    | 5001     | 4514     | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGIQT    | 1000   | 1.63828444480896      | 5000   | nan                     | nan                     | 24502    | 5001     | 4502     | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQB    | 1000   | 0.1404738426208496    | 503    | -inf                    | 6.735589379994312e+156  | 2014     | 504      | 2        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQE    | 1000   | 0.14120197296142578   | 504    | -inf                    | 2.620594771880509e+154  | 2017     | 505      | 1        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGNQT    | 1000   | 0.14000678062438965   | 499    | -inf                    | 3.2091091813078228e+155 | 1998     | 500      | 2        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQB    | 1000   | 0.42031311988830566   | 1516   | -821.9672833122136      | 0.0007520726878997852   | 6064     | 1517     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQE    | 1000   | 0.02968907356262207   | 106    | -3.742734957193391      | 0.0009755686766812488   | 424      | 107      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIAGPQT    | 1000   | 0.035959720611572266  | 128    | -502.04401037269827     | 0.0009230373306001738   | 512      | 129      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton  | DIXMAANA1  | 3000   | 0.004199981689453125  | 6      | 1.0000007726986795      | 5.034639039946378e-05   | 24       | 7        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
