| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-randdir       | ARGLINA    | 1000   | 0.036882877349853516   | 2      | 99.9999995709086         | 3.955260052639076e-09   | 9        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.0188596248626709     | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGLINB    | 1000   | 179.06263208389282     | 5000   | 274.6251658230162        | 8.496249161660671       | 124249   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 456.7351236343384      | 5000   | 274.6251694238765        | 9327.24446508661        | 347613   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGLINC    | 1000   | 170.92931938171387     | 5000   | 276.1251646330003        | 6.123935863841325       | 120624   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 350.6623876094818      | 5000   | 276.1251685480462        | 2345.0967052760534      | 263646   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGTRIGLS  | 1000   | 101.7883996963501      | 5000   | 0.00011697491620224177   | 0.26544055437990244     | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 30.7458016872406       | 1590   | 1.5789017224211442e-07   | 0.0009916730713238463   | 4778     | 1591     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BDEXP      | 5000   | 0.016353368759155273   | 6      | 0.13932512445701076      | 0.00035705027064352477  | 25       | 7        | 0        | 0         | ----     |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.007081270217895508   | 5      | 0.22271663694927527      | 0.0005652143941111492   | 15       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BOX        | 10000  | 22.3131320476532       | 5000   | -1591.3631332262019      | 33.95007806847456       | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BOX        | 10000  | 0.024184226989746094   | 6      | -1864.537926555566       | 3.12493830889049e-05    | 22       | 7        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BOXPOWER   | 10000  | 9.2224280834198        | 5000   | 0.04715029469612066      | 0.0019476771110509827   | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BOXPOWER   | 10000  | 0.010981559753417969   | 7      | 0.04711153526482558      | 0.000496951173064919    | 29       | 8        | 0        | 0         | ----     |
