| Algorithm         | prob       | n      | t                      | n_it   | f_opt                   | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+-------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.02531909942626953    | 1      | 99.99999957090948       | 1.5723779246516745e-08  | 4        | 2        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 416.77520179748535     | 5000   | 274.62516921165394      | 0.19086931087076664     | 284349   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 392.3069543838501      | 5000   | 276.1251691915957       | 19491.976887709927      | 268369   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 32.90718460083008      | 1567   | 3.66459407101982e-11    | 0.0009681853048501054   | 4709     | 1568     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.010747194290161133   | 5      | 0.1572748863045344      | 0.00040948639455954365  | 15       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BOX        | 10000  | 0.04742288589477539    | 11     | -1864.537926559284      | 8.036476421446892e-05   | 42       | 12       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BOXPOWER   | 10000  | 0.01157689094543457    | 7      | 0.047111537151400554    | 0.0004959669091701979   | 28       | 8        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BRATU1D    | 5001   | 0.002362489700317383   | 0      | -inf                    | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROWNAL    | 1000   | 0.04514455795288086    | 3      | 2.5616531829690578e-11  | 8.204822732494955e-06   | 17       | 4        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROYDN3DLS | 5000   | 0.044651031494140625   | 39     | 0.7125280634365901      | 0.0009206213156058792   | 124      | 40       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROYDNBDLS | 5000   | 0.0844106674194336     | 48     | 2.2383987064108654e-08  | 0.0008823946450453729   | 147      | 49       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CHEBYQAD   | 1000   | 3213.906953573227      | 5000   | 0.008241986148300646    | 0.022791922262707785    | 27090    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CHNRSNBM   | 1000   | 2.1606245040893555     | 5000   | 76.02791292691266       | 3.2280864956821267      | 15119    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CLPLATEA   | 4970   | 0.5649778842926025     | 295    | -0.012538607658172682   | 0.0008949683037057239   | 889      | 296      | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CURLY30    | 10000  | 16.843669891357422     | 5000   | -1003162.0951988866     | 0.10590924282217225     | 15005    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CVXBQP1    | 10000  | 3.1401095390319824     | 2294   | 1.1321474184390671e-06  | 0.0009605124565984463   | 6887     | 2295     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                      | --                      | --       | --       | --       | --        | --       |
