| Algorithm         | prob       | n      | t                     | n_it   | f_opt                   | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+-----------------------+--------+-------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-randdir       | ARGLINA    | 1000   | 0.03287005424499512   | 2      | 99.99999957090964       | 2.5866218784920125e-09  | 9        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.01829075813293457   | 2      | 99.99999957090887       | 2.7065794917791042e-11  | 7        | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGLINB    | 1000   | 173.42573761940002    | 5000   | 274.62516511522466      | 4.945376921445131       | 122636   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 394.0063285827637     | 5000   | 274.62516881829526      | 18.7611394636333        | 297959   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGLINC    | 1000   | 168.86988401412964    | 5000   | 276.12516632767034      | 0.6560894190333784      | 119015   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 286.3482942581177     | 5000   | 276.12516864105476      | 2233.0339156242553      | 212634   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | ARGTRIGLS  | 1000   | 100.7543466091156     | 5000   | 0.00011877267156297639  | 0.25865470560775117     | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 43.72573113441467     | 2248   | 1.3593762711632646e-08  | 0.000975384077604586    | 7492     | 2249     | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BDEXP      | 5000   | 0.01604938507080078   | 6      | 0.13932519591016987     | 0.0003570269144177813   | 25       | 7        | 0        | 0         | ----     |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.0072422027587890625 | 5      | 0.11413058123251822     | 0.0002936133394882283   | 15       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BOX        | 10000  | 22.748422145843506    | 5000   | -1476.6446312612536     | 35.785326894273496      | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BOX        | 10000  | 0.032054901123046875  | 8      | -1864.5379265539498     | 0.0008501901320068228   | 28       | 9        | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BOXPOWER   | 10000  | 9.686448812484741     | 5000   | 0.047099278571950266    | 0.0023288317240722223   | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BOXPOWER   | 10000  | 0.016650676727294922  | 11     | 0.04711154882064076     | 0.00010297097244116316  | 38       | 12       | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BRATU1D    | 5001   | 16.123679161071777    | 5000   | 9317839.303795133       | 747.4008399117738       | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BRATU1D    | 5001   | 0.41126012802124023   | 3      | nan                     | 2502009.9522253573      | 1085     | 4        | 1        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BROWNAL    | 1000   | 40.50837850570679     | 5000   | 27552.704296740932      | 4275.608208444368       | 20597    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | BROWNAL    | 1000   | 0.02338433265686035   | 3      | 2.5185812816407708e-11  | 1.2887409957418328e-05  | 10       | 4        | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BROYDN3DLS | 5000   | 0.06249189376831055   | 43     | 5.270615874427732e-07   | 0.0006406294137922678   | 173      | 44       | 0        | 0         | ----     |
| QPS-Newton_Matteo | BROYDN3DLS | 5000   | 0.01882481575012207   | 17     | 5.8982473116590095e-08  | 0.0007671538209463694   | 51       | 18       | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | BROYDNBDLS | 5000   | 0.05843639373779297   | 27     | 3.654458074341388e-07   | 0.0007414437059315494   | 109      | 28       | 0        | 0         | ----     |
| QPS-Newton_Matteo | BROYDNBDLS | 5000   | 0.047356605529785156  | 27     | 1.1715197462819385e-07  | 0.0008955328232354964   | 85       | 28       | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CHEBYQAD   | 1000   | 52.050156116485596    | 34     | nan                     | 0.49289995152820737     | 1272     | 35       | 1        | 0         | ----     |
| QPS-Newton_Matteo | CHEBYQAD   | 1000   | 491.4706599712372     | 897    | 0.00822724204140844     | 0.0008404399225909898   | 4414     | 898      | 0        | 0         | ----     |
| --                | --         | --     | --                    | --     | --                      | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CHNRSNBM   | 1000   | 2.556807518005371     | 5000   | 831.8556181243443       | 1.4565966026601425      | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CHNRSNBM   | 1000   | 2.0871434211730957    | 5000   | 99.0391941320691        | 2.379377310608119       | 15133    | 5001     | 0        | 0         | ----     |
