| Algorithm   | prob       | n      | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| QPS-randdir | ARGLINA    | 1000   | 0.03310823440551758   | 2      | 99.99999957090913       | 3.03581534910613e-10   | 9        | 3        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | ARGLINB    | 1000   | 172.65377402305603    | 5000   | 274.6251651537658       | 4.296032644808292      | 121910   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | ARGLINC    | 1000   | 173.92962861061096    | 5000   | 276.1251661688816       | 5.664137641666457      | 121774   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | ARGTRIGLS  | 1000   | 101.2182092666626     | 5000   | 0.00011785519986257869  | 0.2751974634281999     | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BDEXP      | 5000   | 0.017035245895385742  | 6      | 0.13932502443920095     | 0.00035703112639763607 | 25       | 7        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BOX        | 10000  | 22.40418004989624     | 5000   | -1444.0743512352476     | 38.99141724950922      | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BOXPOWER   | 10000  | 0.2647285461425781    | 142    | 0.047211001608392165    | 0.0009573457908665928  | 569      | 143      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BRATU1D    | 5001   | 15.963150024414062    | 5000   | 9326118.454017749       | 605.5406136908568      | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BROWNAL    | 1000   | 40.8756799697876      | 5000   | 7.933876806224539       | 0.8111114685000551     | 20057    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BROYDN3DLS | 5000   | 0.06128287315368652   | 43     | 5.066039258274279e-07   | 0.0007334023808171882  | 173      | 44       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BROYDNBDLS | 5000   | 0.06587672233581543   | 31     | 2.6892266589808106e-07  | 0.0008766603223642938  | 125      | 32       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CHEBYQAD   | 1000   | 4318.22096323967      | 5000   | 0.00827799173347521     | 0.019663093982217023   | 44978    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CHNRSNBM   | 1000   | 2.4918630123138428    | 5000   | 836.2021884467847       | 3.2811362693186843     | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CLPLATEA   | 4970   | 2.0601866245269775    | 878    | -0.007662582098953935   | 0.0009980289780230286  | 3516     | 879      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CURLY30    | 10000  | 21.374967336654663    | 5000   | -1003103.8708564861     | 4.955572227680063      | 20002    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CVXBQP1    | 10000  | 9.723664999008179     | 5000   | 0.38436694543667005     | 2.7629651090746727     | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CYCLIC3LS  | 100002 | 148.95608067512512    | 5000   | 133758773.95559673      | 176498.1407938804      | 20013    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CYCLOOCFLS | 29996  | 8.750542402267456     | 976    | 0.00014818159538461338  | 0.0009953502668122616  | 3916     | 977      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CYCLOOCTLS | 29996  | 7.157948970794678     | 799    | 0.0002899696957437376   | 0.0009997212368385625  | 3206     | 800      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | DEGDIAG    | 100001 | 0.044841766357421875  | 3      | 9.034057318313147e-20   | 4.840483151052454e-12  | 14       | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | DEGTRID    | 100001 | 2.208488941192627     | 101    | -99999.21944889212      | 0.0009797218231928362  | 405      | 102      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | ARWHEAD    | 5000   | 0.014990091323852539  | 8      | 6.26078720067369e-06    | 0.0007037938049423431  | 33       | 9        | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BDQRTIC    | 5000   | 8.995124101638794     | 5000   | 20006.318651914928      | 1.2933010767388466     | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BROYDN7D   | 5000   | 1.123887538909912     | 347    | 1700.4831593889812      | 0.000995748521471801   | 1401     | 348      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | BRYBND     | 5000   | 0.07003450393676758   | 33     | 1.8643319575081853e-07  | 0.0007353352095512462  | 133      | 34       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CHAINWOO   | 4000   | 5.699051141738892     | 3532   | 4.574281712638234       | 0.0009992771773516124  | 14131    | 3533     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CLPLATEB   | 4970   | 0.024834632873535156  | 10     | -0.00020384352237168719 | 0.0009532733649790168  | 41       | 11       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CLPLATEC   | 4970   | 11.709182262420654    | 5000   | -7.047371006673124e-05  | 0.0019149367667397274  | 20001    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | COSINE     | 10000  | 0.08735489845275879   | 23     | -9998.999999976524      | 0.0009367358577291362  | 94       | 24       | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CRAGGLVY   | 5000   | 1.3853943347930908    | 494    | 1688.2153104975914      | 0.0009922881697726343  | 1977     | 495      | 0        | 0         | ----     |
| --          | --         | --     | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-randdir | CURLY10    | 10000  | 12.56089162826538     | 5000   | -1003149.4042667272     | 0.5381019701216161     | 20002    | 5001     | 0        | 0         | ----     |
