| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS               | ARGLINA    | 1000   | 0.03210759162902832    | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS_New           | ARGLINA    | 1000   | 0.0173647403717041     | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 7        | 3        | nan      | nan       | nan      |
| QPS-Newton        | ARGLINA    | 1000   | 0.020273208618164062   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.018808603286743164   | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINA    | 1000   | 0.02405095100402832    | 3      | 99.99999957090634        | 6.624908954755426e-14   | 7        | 4        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.028564453125         | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.02664017677307129    | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGLINB    | 1000   | 569.5835616588593      | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS_New           | ARGLINB    | 1000   | 638.3528528213501      | 5000   | 274.62516827080657       | 25381.48114075139       | 488949   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGLINB    | 1000   | 113.29259777069092     | 5000   | 274.62516857050804       | 770.7826096192002       | 74653    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 458.92298698425293     | 5000   | 274.6251694238765        | 9327.24446508661        | 347613   | 5001     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINB    | 1000   | 480.48040318489075     | 5000   | 274.6251689820299        | 14328.195220869035      | 364659   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINB    | 1000   | 0.26468920707702637    | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg          | ARGLINB    | 1000   | 0.05591082572937012    | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGLINC    | 1000   | 37.00603652000427      | 5000   | 834.7031174613332        | 992605773.0494248       | 20021    | 5002     | 2        | --        | --       |
| QPS_New           | ARGLINC    | 1000   | 512.2652318477631      | 5000   | 276.12516808703833       | 3452.0720385983586      | 398058   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGLINC    | 1000   | 140.92861557006836     | 5000   | 276.1251698779882        | 1823.897481009597       | 96942    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 350.95546293258667     | 5000   | 276.1251685480462        | 2345.0967052760534      | 263646   | 5001     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINC    | 1000   | 383.30003213882446     | 5000   | 276.12516877207133       | 15691.190186190419      | 289248   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINC    | 1000   | 0.23958969116210938    | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg          | ARGLINC    | 1000   | 0.037200212478637695   | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGTRIGLS  | 1000   | 30.60820436477661      | 1578   | 6.29966616333402e-11     | 0.0008734365879568643   | 6327     | 1580     | 1        | --        | --       |
| QPS_New           | ARGTRIGLS  | 1000   | 176.91197156906128     | 5000   | 1.850840539298417e-06    | 0.015214322359009314    | 106258   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGTRIGLS  | 1000   | 32.89589548110962      | 1611   | 9.288678218858797e-11    | 0.0007458103602168088   | 6451     | 1612     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 30.908175706863403     | 1590   | 1.5789017224211442e-07   | 0.0009916730713238463   | 4778     | 1591     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGTRIGLS  | 1000   | 147.26103043556213     | 5000   | 1.713279675776742e-05    | 0.06484575010634853     | 68391    | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGTRIGLS  | 1000   | 37.89865469932556      | 2103   | 1.2321518713910233e-08   | 0.0008181717628932796   | 2175     | 2175     | nan      | nan       | nan      |
| scipy_cg          | ARGTRIGLS  | 1000   | 109.71705293655396     | 4186   | 2.6071759137981446e-07   | 0.0009994217028951322   | 6309     | 6309     | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | BDEXP      | 5000   | 0.008863687515258789   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS_New           | BDEXP      | 5000   | 0.007723093032836914   | 5      | 0.1572872188558155       | 0.0004095242057058772   | 22       | 7        | nan      | nan       | nan      |
| QPS-Newton        | BDEXP      | 5000   | 0.009558677673339844   | 6      | 0.13925510509718647      | 0.0003258576025561351   | 23       | 7        | 0        | 0         | ----     |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.007063627243041992   | 5      | 0.22271663694927527      | 0.0005652143941111492   | 15       | 6        | 0        | 0         | ----     |
| QPS-Barzilai      | BDEXP      | 5000   | 0.0013341903686523438  | 1      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | ----     |
| scipy_lbfgs       | BDEXP      | 5000   | 0.0147552490234375     | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
| scipy_cg          | BDEXP      | 5000   | 0.009347677230834961   | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | BOX        | 10000  | 0.07014822959899902    | 14     | -1864.5379264877427      | 0.0006488359128264953   | 88       | 16       | 2        | --        | --       |
