| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | 10FOLDTR   | 1000   | 0.0001380443572998047  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --       |
| QPS-Newton  | 10FOLDTR   | 1000   | 5.173683166503906e-05  | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | 10FOLDTR   | 1000   | 0.0021827220916748047  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| scipy_cg    | 10FOLDTR   | 1000   | 0.00027751922607421875 | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINA    | 200    | 0.0024144649505615234  | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 200    | 0.001392364501953125   | 1      | 199.9999999999971        | 6.546752723268767e-11   | 7        | 2        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 200    | 0.002293825149536133   | 2      | 200.00000000000094       | 1.3821756239540345e-13  | 4        | 4        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 200    | 0.002980947494506836   | 2      | 200.00000050045207       | 0.00010004530342886849  | 6        | 6        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 200    | 0.04666304588317871    | 25     | 99.62546816816833        | 0.0009616175666451454   | 330      | 27       | 4        | --        | --       |
| QPS-Newton  | ARGLINB    | 200    | 0.013960123062133789   | 3      | 99.6254681668863         | 0.00024466461036354303  | 101      | 4        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 200    | 0.023972749710083008   | 3      | 99.62546815795879        | 0.08822573197539896     | 54       | 54       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 200    | 0.0062465667724609375  | 1      | 1006514208562188.9       | 58723612087300.555      | 12       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 200    | 48.15759229660034      | 5000   | 101.1254705051584        | 65.65409627594636       | 381723   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINC    | 200    | 0.025319337844848633   | 3      | 101.1254705068497        | 0.0007672417414141819   | 110      | 4        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 200    | 0.004487752914428711   | 3      | 101.12547051028184       | 0.0007851018017390743   | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 200    | 0.009812116622924805   | 3      | 101.12547050887085       | 0.0005857261567143723   | 12       | 12       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 200    | 0.38448166847229004    | 321    | 5.080355998066144e-10    | 0.0007316255874838965   | 1294     | 323      | 1        | --        | --       |
