| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | 10FOLDTR   | 1000   | 0.00020766258239746094 | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --       |
| QPS-Newton  | 10FOLDTR   | 1000   | 7.963180541992188e-05  | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | 10FOLDTR   | 1000   | 0.003531932830810547   | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| scipy_cg    | 10FOLDTR   | 1000   | 0.0004153251647949219  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINA    | 200    | 0.002279043197631836   | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 200    | 0.0009105205535888672  | 1      | 200.00000004240792       | 2.9124497134911468e-05  | 4        | 2        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 200    | 0.0022106170654296875  | 2      | 200.00000000000094       | 1.3821756239540345e-13  | 4        | 4        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 200    | 0.00286865234375       | 2      | 200.00000050045207       | 0.00010004530342886849  | 6        | 6        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 200    | 0.043425798416137695   | 25     | 99.62546816816833        | 0.0009616175666451454   | 330      | 27       | 4        | --        | --       |
| QPS-Newton  | ARGLINB    | 200    | 0.006120204925537109   | 3      | 99.62546816682664        | 0.0005808400455862284   | 43       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 200    | 0.022469758987426758   | 3      | 99.62546815795879        | 0.08822573197539896     | 54       | 54       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 200    | 0.0058040618896484375  | 1      | 1006514208562188.9       | 58723612087300.555      | 12       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 200    | 74.95085716247559      | 5000   | 101.1254705051584        | 65.65409627594636       | 381723   | 5002     | 1000     | --        | --       |
