| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | 10FOLDTR   | 1000   | 0.000202178955078125   | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --       |
| QPS-Newton  | 10FOLDTR   | 1000   | 7.486343383789062e-05  | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | 10FOLDTR   | 1000   | 0.003515005111694336   | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| scipy_cg    | 10FOLDTR   | 1000   | 0.0004870891571044922  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINA    | 200    | 0.003830432891845703   | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 200    | 0.0016257762908935547  | 1      | 200.00000004240792       | 2.9124497134911468e-05  | 4        | 2        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 200    | 0.003787994384765625   | 2      | 200.00000000000094       | 1.3821756239540345e-13  | 4        | 4        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 200    | 0.00506138801574707    | 2      | 200.00000050045207       | 0.00010004530342886849  | 6        | 6        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 200    | 0.07803797721862793    | 25     | 99.62546816816833        | 0.0009616175666451454   | 330      | 27       | 4        | --        | --       |
| QPS-Newton  | ARGLINB    | 200    | 0.012546300888061523   | 3      | 99.62546816978886        | 0.0005409567384049296   | 50       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 200    | 0.04030418395996094    | 3      | 99.62546815795879        | 0.08822573197539896     | 54       | 54       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 200    | 0.010584831237792969   | 1      | 1006514208562188.9       | 58723612087300.555      | 12       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 200    | 55.65585994720459      | 5000   | 101.1254705051584        | 65.65409627594636       | 381723   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINC    | 200    | 0.09191679954528809    | 64     | 101.12547051069951       | 0.0009259079961339012   | 633      | 65       | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 200    | 0.0025763511657714844  | 3      | 101.12547051028184       | 0.0007851018017390743   | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 200    | 0.0054891109466552734  | 3      | 101.12547050887085       | 0.0005857261567143723   | 12       | 12       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 200    | 0.22080588340759277    | 321    | 5.080355998066144e-10    | 0.0007316255874838965   | 1294     | 323      | 1        | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 200    | 0.2698080539703369     | 331    | 6.958831843246446e-10    | 0.000864298290577018    | 1660     | 332      | 0        | 0         | ----     |
| scipy_lbfgs | ARGTRIGLS  | 200    | 0.24529814720153809    | 447    | 4.339614090088769e-08    | 0.0009929626527197105   | 460      | 460      | nan      | nan       | nan      |
| scipy_cg    | ARGTRIGLS  | 200    | 0.8352112770080566     | 970    | 1.0103427466216911e-07   | 0.0006348756218849921   | 1472     | 1472     | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BDEXP      | 5000   | 0.009263038635253906   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.00977468490600586    | 6      | 0.13925510509718647      | 0.0003258576025561351   | 29       | 7        | 0        | 0         | ----     |
| scipy_lbfgs | BDEXP      | 5000   | 0.015676259994506836   | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BDEXP      | 5000   | 0.009607791900634766   | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOX        | 10000  | 0.09102988243103027    | 14     | -1864.5379264877427      | 0.0006488359128264953   | 88       | 16       | 2        | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.0227205753326416     | 5      | -1864.5379265549846      | 7.193518508863406e-05   | 26       | 6        | 0        | 0         | ----     |
| scipy_lbfgs | BOX        | 10000  | 0.03734898567199707    | 9      | -1864.5379265531467      | 0.000816277283837763    | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BOX        | 10000  | 0.05126237869262695    | 8      | -1864.5379264343999      | 8.625792894789708e-06   | 29       | 19       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOXPOWER   | 10     | 0.0027382373809814453  | 28     | 0.00017920133674181155   | 0.0006274494027551647   | 93       | 30       | 4        | --        | --       |
| QPS-Newton  | BOXPOWER   | 10     | 0.002071857452392578   | 11     | 1.8983976384594724e-05   | 0.0009873315159995783   | 54       | 12       | 0        | 0         | ----     |
| scipy_lbfgs | BOXPOWER   | 10     | 0.0014886856079101562  | 18     | 7.084591106709397e-06    | 0.0009876437186593736   | 21       | 21       | nan      | nan       | nan      |
| scipy_cg    | BOXPOWER   | 10     | 0.005262851715087891   | 24     | 1.2500836668100173e-06   | 0.00033128838427684115  | 56       | 56       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BRATU1D    | 5001   | 7.783567905426025      | 5000   | nan                      | nan                     | 13002    | 5002     | 1000     | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.002096891403198242   | 0      | -inf                     | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | BRATU1D    | 5001   | 9.971778631210327      | 5000   | 20708.922532274657       | 32.65796602386399       | 5129     | 5129     | nan      | nan       | nan      |
| scipy_cg    | BRATU1D    | 5001   | 12.422255516052246     | 5000   | 236622.90154208837       | 17.695838404702954      | 7564     | 7564     | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROWNAL    | 200    | 0.0036432743072509766  | 5      | 1.26968771350189e-07     | 0.0007091192522516118   | 35       | 7        | 1        | --        | --       |
| QPS-Newton  | BROWNAL    | 200    | 0.0025358200073242188  | 3      | 1.4730542028128964e-09   | 1.458748631444351e-06   | 22       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | BROWNAL    | 200    | 0.0017094612121582031  | 3      | 1.7619918409163016e-08   | 0.0002538012048345164   | 4        | 4        | nan      | nan       | nan      |
