| Algorithm   | prob      | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+-----------+-------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| QPS         | ARWHEAD   | 5000  | 0.04847884178161621   | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 40       | 9        | 2        | --        | --       |
| QPS-Newton  | ARWHEAD   | 5000  | 0.02356266975402832   | 6      | 0.0                     | 5.132572061716377e-06  | 29       | 7        | 0        | 0         | ----     |
| scipy_lbfgs | ARWHEAD   | 5000  | 0.04801034927368164   | 12     | 6.459095702737727e-09   | 0.0007540852963052447  | 14       | 14       | nan      | nan       | nan      |
| scipy_cg    | ARWHEAD   | 5000  | 0.02225780487060547   | 4      | 0.0                     | 7.099563652186266e-05  | 10       | 10       | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | BDQRTIC   | 100   | 0.027993202209472656  | 100    | 378.76919188099464      | 0.0008767907599012589  | 403      | 102      | 2        | --        | --       |
| QPS-Newton  | BDQRTIC   | 100   | 0.024568796157836914  | 61     | 378.7691918883704       | 0.0007728588326396668  | 304      | 62       | 0        | 0         | ----     |
| scipy_lbfgs | BDQRTIC   | 100   | 0.006249666213989258  | 37     | 378.7691918359752       | 0.0008471415135242466  | 41       | 41       | nan      | nan       | nan      |
| scipy_cg    | BDQRTIC   | 100   | 0.023442506790161133  | 59     | 378.7691919882652       | 0.0008111731135516109  | 117      | 117      | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | BROYDN7D  | 5000  | 18.252002239227295    | 5000   | 1026.0218840951609      | 1.5089818770975298     | 18500    | 5002     | 236      | --        | --       |
| QPS-Newton  | BROYDN7D  | 5000  | 5.405855655670166     | 1402   | 2016.7275538693332      | 0.0006963810795044267  | 7011     | 1403     | 0        | 0         | ----     |
| scipy_lbfgs | BROYDN7D  | 5000  | 4.0962042808532715    | 1634   | 1988.601037401036       | 0.0007008963137673518  | 1675     | 1675     | nan      | nan       | nan      |
| scipy_cg    | BROYDN7D  | 5000  | 5.163017272949219     | 1671   | 1928.2597782182363      | 0.0006466101582718875  | 2322     | 2322     | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | BRYBND    | 5000  | 0.0718226432800293    | 41     | 2.5475465086031914e-07  | 0.0006699904388068587  | 162      | 43       | 2        | --        | --       |
| QPS-Newton  | BRYBND    | 5000  | 0.13919425010681152   | 65     | 2.600647652915587e-08   | 0.000947232063268283   | 324      | 66       | 0        | 0         | ----     |
| scipy_lbfgs | BRYBND    | 5000  | 0.04128599166870117   | 22     | 6.832638193845875e-07   | 0.0009881969267761873  | 25       | 25       | nan      | nan       | nan      |
| scipy_cg    | BRYBND    | 5000  | 0.10598063468933105   | 42     | 3.7029174066225126e-07  | 0.0008591518055118475  | 77       | 77       | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | CHAINWOO  | 4000  | 0.4023616313934326    | 285    | 1.0000001230564226      | 0.0009939361762129981  | 1100     | 287      | 9        | --        | --       |
| QPS-Newton  | CHAINWOO  | 4000  | 9.088887929916382     | 5000   | 10331.657015293416      | 39.344295996849354     | 25059    | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | CHAINWOO  | 4000  | 6.956466197967529     | 5000   | 10334.27956342311       | 13.257870554912        | 5398     | 5398     | nan      | nan       | nan      |
| scipy_cg    | CHAINWOO  | 4000  | 0.6477243900299072    | 375    | 4.572767279063827       | 0.0007532135923195293  | 645      | 645      | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | CLPLATEB  | 4970  | 0.008433818817138672  | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 13       | 6        | 1        | --        | --       |
| QPS-Newton  | CLPLATEB  | 4970  | 0.2643892765045166    | 98     | -0.004956914661807021   | 0.0009987246631667365  | 489      | 99       | 0        | 0         | ----     |
| scipy_lbfgs | CLPLATEB  | 4970  | 0.011106729507446289  | 2      | -0.0001261852420210387  | 0.0007400626523288994  | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | CLPLATEB  | 4970  | 0.04174923896789551   | 21     | -0.0007278920193861378  | 0.00048530050742673554 | 27       | 27       | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | CLPLATEC  | 4970  | 7.919315576553345     | 3633   | -0.005020671645060871   | 0.0009564483009037482  | 14539    | 3635     | 1        | --        | --       |
| QPS-Newton  | CLPLATEC  | 4970  | 10.496602773666382    | 3617   | -0.005020677594308099   | 0.000987544938174757   | 18084    | 3618     | 0        | 0         | ----     |
| scipy_lbfgs | CLPLATEC  | 4970  | 9.95084524154663      | 5000   | -0.00401897974443495    | 0.010285066707587434   | 5132     | 5132     | nan      | nan       | nan      |
| scipy_cg    | CLPLATEC  | 4970  | 4.459055662155151     | 1876   | -0.0004573650864190589  | 0.0009964910936695924  | 2790     | 2790     | nan      | nan       | nan      |
| --          | --        | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | COSINE    | 10000 | 0.04735279083251953   | 11     | -9998.99999999111       | 0.0005497765077846576  | 43       | 13       | 1        | --        | --       |
| QPS-Newton  | COSINE    | 10000 | 181.12678813934326    | 5000   | -9998.999996062863      | 786.613160005895       | 104943   | 5001     | 0        | 0         | ----     |
