| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | 10FOLDTR   | 1000   | 0.0001418590545654297  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --       |
| QPS-Newton  | 10FOLDTR   | 1000   | 5.14984130859375e-05   | 0      | 0.0                      | 0.0                     | 1        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | 10FOLDTR   | 1000   | 0.0021550655364990234  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| scipy_cg    | 10FOLDTR   | 1000   | 0.0002636909484863281  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINA    | 200    | 0.0023293495178222656  | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 200    | 0.008111953735351562   | 5      | 200.00000729442382       | 0.00038195344852992276  | 51       | 6        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 200    | 0.0022280216217041016  | 2      | 200.00000000000094       | 1.3821756239540345e-13  | 4        | 4        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 200    | 0.002907991409301758   | 2      | 200.00000050045207       | 0.00010004530342886849  | 6        | 6        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 200    | 0.04542851448059082    | 25     | 99.62546816816833        | 0.0009616175666451454   | 330      | 27       | 4        | --        | --       |
| QPS-Newton  | ARGLINB    | 200    | 0.012557029724121094   | 3      | 99.62546816828136        | 0.000752652995288372    | 92       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 200    | 0.023398637771606445   | 3      | 99.62546815795879        | 0.08822573197539896     | 54       | 54       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 200    | 0.006101369857788086   | 1      | 1006514208562188.9       | 58723612087300.555      | 12       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 200    | 44.30654740333557      | 5000   | 101.1254705051584        | 65.65409627594636       | 381723   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINC    | 200    | 0.014911651611328125   | 4      | 101.12547050755792       | 0.0004564170812955126   | 112      | 5        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 200    | 0.0026009082794189453  | 3      | 101.12547051028184       | 0.0007851018017390743   | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 200    | 0.005573749542236328   | 3      | 101.12547050887085       | 0.0005857261567143723   | 12       | 12       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 200    | 0.2237560749053955     | 321    | 5.080355998066144e-10    | 0.0007316255874838965   | 1294     | 323      | 1        | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 200    | 0.4465165138244629     | 316    | 8.31270691345328e-10     | 0.000844548529385706    | 3908     | 317      | 0        | 0         | ----     |
| scipy_lbfgs | ARGTRIGLS  | 200    | 0.24816322326660156    | 447    | 4.339614090088769e-08    | 0.0009929626527197105   | 460      | 460      | nan      | nan       | nan      |
