| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | ARGLINA    | 1000   | 0.03189516067504883    | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 1000   | 0.020201444625854492   | 2      | 99.99999957157692        | 1.6352141265782785e-06  | 9        | 3        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 1000   | 0.028470516204833984   | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 1000   | 0.02659440040588379    | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 1000   | 569.3841121196747      | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 303.8187003135681      | 5000   | 274.6251680659971        | 1.4016341678798199      | 208837   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 1000   | 0.2885260581970215     | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 1000   | 0.06041717529296875    | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 1000   | 40.50633907318115      | 5000   | 834.7031174613332        | 992605773.0494248       | 20021    | 5002     | 2        | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 163.9636104106903      | 5000   | 276.12516819415896       | 6.678786996984854       | 108497   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 1000   | 0.2630131244659424     | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 1000   | 0.040927886962890625   | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 1000   | 32.83058047294617      | 1578   | 6.29966616333402e-11     | 0.0008734365879568643   | 6327     | 1580     | 1        | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 34.339861154556274     | 1566   | 3.731043253984379e-11    | 0.0008170254854030628   | 7829     | 1567     | 0        | 0         | ----     |
| scipy_lbfgs | ARGTRIGLS  | 1000   | 40.70880174636841      | 2103   | 1.2321518713910233e-08   | 0.0008181717628932796   | 2175     | 2175     | nan      | nan       | nan      |
| scipy_cg    | ARGTRIGLS  | 1000   | 119.10978245735168     | 4186   | 2.6071759137981446e-07   | 0.0009994217028951322   | 6309     | 6309     | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BDEXP      | 5000   | 0.009338617324829102   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.009918928146362305   | 6      | 0.1481127902703619       | 0.00029496929054748246  | 29       | 7        | 0        | 0         | ----     |
| scipy_lbfgs | BDEXP      | 5000   | 0.015684127807617188   | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BDEXP      | 5000   | 0.009682416915893555   | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOX        | 10000  | 0.07229351997375488    | 14     | -1864.5379264877427      | 0.0006488359128264953   | 88       | 16       | 2        | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.035773515701293945   | 8      | -1864.5379254002821      | 0.0002020601246448539   | 42       | 9        | 0        | 0         | ----     |
| scipy_lbfgs | BOX        | 10000  | 0.03660702705383301    | 9      | -1864.5379265531467      | 0.000816277283837763    | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BOX        | 10000  | 0.05029797554016113    | 8      | -1864.5379264343999      | 8.625792894789708e-06   | 29       | 19       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOXPOWER   | 10000  | 0.34807682037353516    | 167    | 0.046358825422515786     | 3.640434347573773e-05   | 1378     | 169      | 29       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 0.3879129886627197     | 260    | 0.0010747261556791172    | 0.000853977208768026    | 1304     | 261      | 0        | 0         | ----     |
| scipy_lbfgs | BOXPOWER   | 10000  | 0.09843659400939941    | 47     | 3.449740357338748e-06    | 0.0003685034946175065   | 56       | 56       | nan      | nan       | nan      |
| scipy_cg    | BOXPOWER   | 10000  | 0.05260109901428223    | 18     | 0.04322159514292177      | 0.0008312676867627822   | 68       | 68       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BRATU1D    | 5001   | 7.660797119140625      | 5000   | nan                      | nan                     | 13002    | 5002     | 1000     | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0021533966064453125  | 0      | -inf                     | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | BRATU1D    | 5001   | 9.74231243133545       | 5000   | 20708.922532274657       | 32.65796602386399       | 5129     | 5129     | nan      | nan       | nan      |
| scipy_cg    | BRATU1D    | 5001   | 12.172713279724121     | 5000   | 236622.90154208837       | 17.695838404702954      | 7564     | 7564     | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROWNAL    | 1000   | 0.056893110275268555   | 3      | 2.5142481739111185e-11   | 9.893246026097266e-06   | 32       | 5        | 1        | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.03166460990905762    | 3      | 4.5500967378138864e-11   | 0.00028312260739893347  | 20       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | BROWNAL    | 1000   | 0.023360729217529297   | 3      | 3.2376386688221427e-11   | 1.1334099672503009e-05  | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | BROWNAL    | 1000   | 0.05301094055175781    | 2      | 2.5142934326112574e-11   | 9.980023430848332e-06   | 12       | 12       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROYDN3DLS | 5000   | 0.03285694122314453    | 33     | 1.407812277072254        | 0.000950744134278203    | 131      | 35       | 1        | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.022763729095458984   | 19     | 7.490119588998596e-08    | 0.0008649566478315976   | 94       | 20       | 0        | 0         | ----     |
| scipy_lbfgs | BROYDN3DLS | 5000   | 0.03957962989807129    | 34     | 0.7125279260028289       | 0.0003883670829038855   | 40       | 40       | nan      | nan       | nan      |
| scipy_cg    | BROYDN3DLS | 5000   | 0.03330850601196289    | 23     | 5.670883256108654e-08    | 0.0006709753232910617   | 50       | 50       | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
