| Algorithm   | prob       | n      | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton  | ARGLINA    | 1000   | 0.03247666358947754    | 2      | 99.99999957090911       | 2.5742330884113984e-08 | 9        | 3        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 145.11836695671082     | 5000   | 274.6251686289343       | 747.0897566601634      | 94384    | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 349.4872131347656      | 5000   | 276.12516965928313      | 13312.318368635606     | 241922   | 5001     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 35.25723195075989      | 1565   | 6.494876135787682e-11   | 0.0008200019552648671  | 7824     | 1566     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.013726234436035156   | 6      | 0.13925510509718647     | 0.0003258576025561351  | 29       | 7        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.023944616317749023   | 5      | -1864.5379265549846     | 7.193518508863406e-05  | 26       | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 0.008783340454101562   | 5      | 0.04711241375545649     | 0.0003499783180954674  | 26       | 6        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.0024192333221435547  | 0      | -inf                    | 5003999.999680006      | 3        | 1        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.04530167579650879    | 3      | 2.45955754094239e-11    | 7.579247334058639e-06  | 20       | 4        | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.024235248565673828   | 19     | 7.453290229299497e-08   | 0.0008617864846867379  | 94       | 20       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | BROYDNBDLS | 5000   | 0.12892746925354004    | 65     | 2.600647652915587e-08   | 0.000947232063268283   | 324      | 66       | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | CHEBYQAD   | 1000   | 3144.353163957596      | 5000   | nan                     | nan                    | 42984    | 5001     | 2709     | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | CHNRSNBM   | 1000   | 2.180989980697632      | 4497   | 1.9338483230753882e-07  | 0.0007127738254374441  | 22485    | 4498     | 0        | 0         | ----     |
| --          | --         | --     | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS-Newton  | CLPLATEA   | 4970   | 0.7549993991851807     | 336    | -0.012540203532366775   | 0.0009107496042891246  | 1682     | 337      | 0        | 0         | ----     |
