| Algorithm   | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | ARGLINA    | 1000   | 0.032163143157958984   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 1000   | 0.020244121551513672   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 9        | 3        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 1000   | 0.02860569953918457    | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 1000   | 0.026685714721679688   | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 1000   | 568.8718211650848      | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 417.02414989471436     | 5000   | 274.62516887744056       | 2678.6586527638137      | 289927   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 1000   | 0.28873777389526367    | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 1000   | 0.06126737594604492    | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 1000   | 40.583770513534546     | 5000   | 834.7031174613332        | 992605773.0494248       | 20021    | 5002     | 2        | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 314.79196548461914     | 5000   | 276.1251673935878        | 11972.09879668313       | 216780   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 1000   | 0.26272130012512207    | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 1000   | 0.040891408920288086   | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 1000   | 33.47528052330017      | 1578   | 6.29966616333402e-11     | 0.0008734365879568643   | 6327     | 1580     | 1        | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 31.750094175338745     | 1565   | 6.494876135787682e-11    | 0.0008200019552648671   | 7824     | 1566     | 0        | 0         | ----     |
| scipy_lbfgs | ARGTRIGLS  | 1000   | 38.07716369628906      | 2103   | 1.2321518713910233e-08   | 0.0008181717628932796   | 2175     | 2175     | nan      | nan       | nan      |
| scipy_cg    | ARGTRIGLS  | 1000   | 109.0951361656189      | 4186   | 2.6071759137981446e-07   | 0.0009994217028951322   | 6309     | 6309     | nan      | nan       | nan      |
| --          | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BDEXP      | 5000   | 0.008871078491210938   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.009717226028442383   | 6      | 0.13925510509718647      | 0.0003258576025561351   | 29       | 7        | 0        | 0         | ----     |
| scipy_lbfgs | BDEXP      | 5000   | 0.015026330947875977   | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
