| Algorithm   | prob       | n      | t                     | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+------------+--------+-----------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS         | ARGLINA    | 1000   | 0.03226351737976074   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS-Newton  | ARGLINA    | 1000   | 0.02063918113708496   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 9        | 3        | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINA    | 1000   | 0.028476953506469727  | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | ARGLINA    | 1000   | 0.026644468307495117  | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINB    | 1000   | 568.9673037528992     | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS-Newton  | ARGLINB    | 1000   | 333.05779218673706    | 5000   | 274.62516674888946       | 11.890523159876466      | 229688   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINB    | 1000   | 0.28816866874694824   | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg    | ARGLINB    | 1000   | 0.060423851013183594  | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGLINC    | 1000   | 40.530654191970825    | 5000   | 834.7031174613332        | 992605773.0494248       | 20021    | 5002     | 2        | --        | --       |
| QPS-Newton  | ARGLINC    | 1000   | 351.4251356124878     | 5000   | 276.12516804433847       | 6723.3069286965765      | 243758   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs | ARGLINC    | 1000   | 0.261765718460083     | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg    | ARGLINC    | 1000   | 0.04080796241760254   | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | ARGTRIGLS  | 1000   | 33.625075578689575    | 1578   | 6.29966616333402e-11     | 0.0008734365879568643   | 6327     | 1580     | 1        | --        | --       |
| QPS-Newton  | ARGTRIGLS  | 1000   | 35.19222068786621     | 1565   | 6.930484578659999e-11    | 0.000860513789662028    | 7824     | 1566     | 0        | 0         | ----     |
| scipy_lbfgs | ARGTRIGLS  | 1000   | 41.71772837638855     | 2103   | 1.2321518713910233e-08   | 0.0008181717628932796   | 2175     | 2175     | nan      | nan       | nan      |
| scipy_cg    | ARGTRIGLS  | 1000   | 120.95693922042847    | 4186   | 2.6071759137981446e-07   | 0.0009994217028951322   | 6309     | 6309     | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BDEXP      | 5000   | 0.009288311004638672  | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS-Newton  | BDEXP      | 5000   | 0.009937763214111328  | 6      | 0.13925510509718647      | 0.0003258576025561351   | 29       | 7        | 0        | 0         | ----     |
| scipy_lbfgs | BDEXP      | 5000   | 0.015680789947509766  | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BDEXP      | 5000   | 0.009765148162841797  | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOX        | 10000  | 0.07244873046875      | 14     | -1864.5379264877427      | 0.0006488359128264953   | 88       | 16       | 2        | --        | --       |
| QPS-Newton  | BOX        | 10000  | 0.02254629135131836   | 5      | -1864.5379265549846      | 7.193518508863406e-05   | 26       | 6        | 0        | 0         | ----     |
| scipy_lbfgs | BOX        | 10000  | 0.03664112091064453   | 9      | -1864.5379265531467      | 0.000816277283837763    | 11       | 11       | nan      | nan       | nan      |
| scipy_cg    | BOX        | 10000  | 0.050414085388183594  | 8      | -1864.5379264343999      | 8.625792894789708e-06   | 29       | 19       | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BOXPOWER   | 10000  | 0.3458597660064697    | 167    | 0.046358825422515786     | 3.640434347573773e-05   | 1378     | 169      | 29       | --        | --       |
| QPS-Newton  | BOXPOWER   | 10000  | 0.007964372634887695  | 5      | 0.04711241375545649      | 0.0003499783180954674   | 26       | 6        | 0        | 0         | ----     |
| scipy_lbfgs | BOXPOWER   | 10000  | 0.09631919860839844   | 47     | 3.449740357338748e-06    | 0.0003685034946175065   | 56       | 56       | nan      | nan       | nan      |
| scipy_cg    | BOXPOWER   | 10000  | 0.0528872013092041    | 18     | 0.04322159514292177      | 0.0008312676867627822   | 68       | 68       | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BRATU1D    | 5001   | 7.669366121292114     | 5000   | nan                      | nan                     | 13002    | 5002     | 1000     | --        | --       |
| QPS-Newton  | BRATU1D    | 5001   | 0.002107858657836914  | 0      | -inf                     | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| scipy_lbfgs | BRATU1D    | 5001   | 9.77186369895935      | 5000   | 20708.922532274657       | 32.65796602386399       | 5129     | 5129     | nan      | nan       | nan      |
| scipy_cg    | BRATU1D    | 5001   | 12.453676223754883    | 5000   | 236622.90154208837       | 17.695838404702954      | 7564     | 7564     | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROWNAL    | 1000   | 0.056768178939819336  | 3      | 2.5142481739111185e-11   | 9.893246026097266e-06   | 32       | 5        | 1        | --        | --       |
| QPS-Newton  | BROWNAL    | 1000   | 0.031490325927734375  | 3      | 2.45955754094239e-11     | 7.579247334058639e-06   | 20       | 4        | 0        | 0         | ----     |
| scipy_lbfgs | BROWNAL    | 1000   | 0.02353978157043457   | 3      | 3.2376386688221427e-11   | 1.1334099672503009e-05  | 5        | 5        | nan      | nan       | nan      |
| scipy_cg    | BROWNAL    | 1000   | 0.053153038024902344  | 2      | 2.5142934326112574e-11   | 9.980023430848332e-06   | 12       | 12       | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROYDN3DLS | 5000   | 0.03264188766479492   | 33     | 1.407812277072254        | 0.000950744134278203    | 131      | 35       | 1        | --        | --       |
| QPS-Newton  | BROYDN3DLS | 5000   | 0.023051738739013672  | 19     | 7.453290229299497e-08    | 0.0008617864846867379   | 94       | 20       | 0        | 0         | ----     |
| scipy_lbfgs | BROYDN3DLS | 5000   | 0.039916276931762695  | 34     | 0.7125279260028289       | 0.0003883670829038855   | 40       | 40       | nan      | nan       | nan      |
| scipy_cg    | BROYDN3DLS | 5000   | 0.03339838981628418   | 23     | 5.670883256108654e-08    | 0.0006709753232910617   | 50       | 50       | nan      | nan       | nan      |
| --          | --         | --     | --                    | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS         | BROYDNBDLS | 5000   | 0.06529641151428223   | 41     | 2.5475465086031914e-07   | 0.0006699904388068587   | 162      | 43       | 2        | --        | --       |
