| Algorithm   | prob     | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------+----------+-------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| QPS         | GENROSE  | 500   | 0.45510029792785645   | 1326   | 1.0000000036718306      | 0.0008725705262344643  | 5108     | 1328     | 32       | 25        | --       |
| QPS-approx  | GENROSE  | 500   | 0.8080055713653564    | 2454   | 1.000000004476523       | 0.0007119104662944054  | 8295     | 2456     | 229      | 218       | --       |
| scipy_lbfgs | GENROSE  | 500   | 0.21334147453308105   | 1073   | 1.000000005309047       | 0.0006902087824246894  | 1300     | 1300     | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | ARWHEAD  | 5000  | 0.02394866943359375   | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 40       | 9        | 2        | 2         | --       |
| QPS-approx  | ARWHEAD  | 5000  | 0.01956629753112793   | 6      | 9.990008820182084e-12   | 0.00021836627791675648 | 34       | 8        | 1        | 3         | --       |
| scipy_lbfgs | ARWHEAD  | 5000  | 0.03634285926818848   | 12     | 6.459095702737727e-09   | 0.0007540852963036516  | 14       | 14       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | BROYDN7D | 5000  | 10.557765007019043    | 5000   | 1060.6043406865415      | 1.347371899512972      | 18234    | 5002     | 285      | 208       | --       |
| QPS-approx  | BROYDN7D | 5000  | 9.85147738456726      | 5000   | 1474.1377301481732      | 1.3342581147125816     | 16054    | 5002     | 617      | 495       | --       |
| scipy_lbfgs | BROYDN7D | 5000  | 2.8564558029174805    | 1633   | 1988.6010375753615      | 0.0007104351469828796  | 1670     | 1670     | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | CRAGGLVY | 5000  | 0.14985108375549316   | 76     | 1688.2153107862184      | 0.0008921947263698105  | 275      | 78       | 8        | 15        | --       |
| QPS-approx  | CRAGGLVY | 5000  | 0.15997767448425293   | 82     | 1688.2153106789517      | 0.000719592947578819   | 276      | 84       | 11       | 25        | --       |
| scipy_lbfgs | CRAGGLVY | 5000  | 0.12597274780273438   | 60     | 1688.2153103076857      | 0.0008278183417961471  | 73       | 73       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANA | 3000  | 0.005112886428833008  | 6      | 1.0000000003498648      | 8.238126688165597e-07  | 22       | 8        | 1        | 1         | --       |
| QPS-approx  | DIXMAANA | 3000  | 0.0049779415130615234 | 6      | 1.0000000002779106      | 7.76633201960755e-07   | 22       | 8        | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANA | 3000  | 0.010239839553833008  | 9      | 1.0002602369299431      | 0.0008019704517371568  | 11       | 11       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANB | 3000  | 0.005215883255004883  | 5      | 1.0000000514996978      | 5.310586758094105e-05  | 19       | 7        | 1        | 1         | --       |
| QPS-approx  | DIXMAANB | 3000  | 0.004219770431518555  | 5      | 1.0000000514996978      | 5.310586758094105e-05  | 19       | 7        | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANB | 3000  | 0.00896763801574707   | 9      | 1.0000100938776726      | 0.0006158030962474504  | 11       | 11       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANC | 3000  | 0.004998445510864258  | 5      | 1.0000001632758875      | 0.00045666875639028317 | 20       | 7        | 1        | 1         | --       |
| QPS-approx  | DIXMAANC | 3000  | 0.004484653472900391  | 5      | 1.0000001632758875      | 0.00045666875639028317 | 20       | 7        | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANC | 3000  | 0.01084136962890625   | 11     | 1.0000001567050585      | 8.299074456526375e-05  | 13       | 13       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAAND | 3000  | 0.006101131439208984  | 6      | 1.0000000002411684      | 5.413902906261917e-06  | 25       | 8        | 1        | 1         | --       |
| QPS-approx  | DIXMAAND | 3000  | 0.005667924880981445  | 6      | 1.0000000001333382      | 5.377574795214388e-06  | 25       | 8        | 1        | 2         | --       |
| scipy_lbfgs | DIXMAAND | 3000  | 0.013694047927856445  | 12     | 1.0000063122524319      | 0.0007019886026338629  | 14       | 14       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANE | 3000  | 0.04979515075683594   | 42     | 1.001474090755731       | 0.0009712552895545369  | 166      | 44       | 1        | 1         | --       |
| QPS-approx  | DIXMAANE | 3000  | 0.03806471824645996   | 42     | 1.0015243373057292      | 0.0009872116096773438  | 166      | 44       | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANE | 3000  | 0.05504608154296875   | 76     | 1.0012143542213252      | 0.0008742075457802235  | 81       | 81       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANF | 3000  | 0.02530527114868164   | 28     | 1.0005407076879889      | 0.0009833639229948766  | 111      | 30       | 1        | 1         | --       |
| QPS-approx  | DIXMAANF | 3000  | 0.03165698051452637   | 27     | 1.0005820118081519      | 0.000775116724549128   | 107      | 29       | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANF | 3000  | 0.034540414810180664  | 46     | 1.0008362980165506      | 0.0009272754546618479  | 49       | 49       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANG | 3000  | 0.060598134994506836  | 72     | 1.0598957790367043      | 0.0008201026452382408  | 287      | 74       | 1        | 1         | --       |
| QPS-approx  | DIXMAANG | 3000  | 0.08193206787109375   | 102    | 1.0539417150889647      | 0.000766795159767396   | 358      | 104      | 8        | 7         | --       |
| scipy_lbfgs | DIXMAANG | 3000  | 0.03926205635070801   | 50     | 1.0006127595851426      | 0.0007388053284072291  | 52       | 52       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANH | 3000  | 0.022307634353637695  | 24     | 1.0005070363737472      | 0.0009625105639630955  | 97       | 26       | 1        | 1         | --       |
| QPS-approx  | DIXMAANH | 3000  | 0.016910076141357422  | 19     | 1.0008658427875459      | 0.0007269421767286888  | 77       | 21       | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANH | 3000  | 0.03259086608886719   | 43     | 1.0009662717496755      | 0.0009659073724048187  | 46       | 46       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANI | 3000  | 0.08500957489013672   | 95     | 1.0014202516148465      | 0.0009808156131746227  | 378      | 97       | 1        | 1         | --       |
| QPS-approx  | DIXMAANI | 3000  | 0.06286239624023438   | 71     | 1.0034952874739642      | 0.0009694978994132111  | 275      | 73       | 2        | 2         | --       |
| scipy_lbfgs | DIXMAANI | 3000  | 0.06946706771850586   | 96     | 1.0112623115339643      | 0.0009108860839359657  | 100      | 100      | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANJ | 3000  | 0.1930856704711914    | 220    | 1.1651867567230132      | 0.0006874508330180769  | 845      | 222      | 6        | 5         | --       |
| QPS-approx  | DIXMAANJ | 3000  | 0.205108642578125     | 226    | 1.162308591318631       | 0.0009494456562709109  | 888      | 228      | 3        | 7         | --       |
| scipy_lbfgs | DIXMAANJ | 3000  | 0.02971053123474121   | 38     | 1.0006464740166374      | 0.0005320639521332825  | 42       | 42       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANK | 3000  | 0.14102578163146973   | 176    | 1.5150904896239852      | 0.000511477103683526   | 641      | 178      | 10       | 9         | --       |
| QPS-approx  | DIXMAANK | 3000  | 0.16382074356079102   | 217    | 1.5151166098295872      | 0.0009084451939490961  | 719      | 219      | 23       | 30        | --       |
| scipy_lbfgs | DIXMAANK | 3000  | 0.023482799530029297  | 30     | 1.0015342519077377      | 0.000647089480685777   | 33       | 33       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANL | 3000  | 0.07586264610290527   | 95     | 2.707346301893677       | 0.0006582626391441228  | 341      | 97       | 7        | 6         | --       |
| QPS-approx  | DIXMAANL | 3000  | 0.13944554328918457   | 185    | 2.600673750573663       | 0.0005254932258856362  | 577      | 187      | 25       | 30        | --       |
| scipy_lbfgs | DIXMAANL | 3000  | 0.028950214385986328  | 37     | 1.0002975743671667      | 0.0008299733435068736  | 40       | 40       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANM | 3000  | 0.1316063404083252    | 152    | 1.001912810593052       | 0.0009644437574292665  | 605      | 154      | 1        | 1         | --       |
| QPS-approx  | DIXMAANM | 3000  | 0.11536455154418945   | 124    | 1.0034944275124404      | 0.0009768027409075798  | 493      | 126      | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANM | 3000  | 0.07956147193908691   | 95     | 1.010351762599064       | 0.0008297833550448506  | 100      | 100      | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANN | 3000  | 0.037949323654174805  | 43     | 1.0036519895469438      | 0.0009449578383425272  | 170      | 45       | 1        | 1         | --       |
| QPS-approx  | DIXMAANN | 3000  | 0.06630992889404297   | 73     | 1.0004529892685874      | 0.0009644419450203535  | 284      | 75       | 2        | 2         | --       |
| scipy_lbfgs | DIXMAANN | 3000  | 0.034363508224487305  | 46     | 1.0030454717733643      | 0.0008306800247337582  | 48       | 48       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANO | 3000  | 0.04087257385253906   | 42     | 1.002985221748575       | 0.0009167043506932874  | 167      | 44       | 1        | 1         | --       |
| QPS-approx  | DIXMAANO | 3000  | 0.0409398078918457    | 44     | 1.0029046115169267      | 0.0009474233701439996  | 175      | 46       | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANO | 3000  | 0.04190683364868164   | 56     | 1.0008916345169196      | 0.0007650052143934046  | 60       | 60       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | DIXMAANP | 3000  | 0.03626298904418945   | 39     | 1.0025528897997131      | 0.0009446051338401015  | 156      | 41       | 1        | 1         | --       |
| QPS-approx  | DIXMAANP | 3000  | 0.03376412391662598   | 35     | 1.0028319076077805      | 0.0009404432176005719  | 140      | 37       | 1        | 2         | --       |
| scipy_lbfgs | DIXMAANP | 3000  | 0.04131793975830078   | 43     | 1.0019437328393535      | 0.0008614896694744031  | 46       | 46       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | EDENSCH  | 10000 | 0.06635546684265137   | 21     | 60003.28459219213       | 0.0009477130189516218  | 73       | 23       | 4        | 4         | --       |
| QPS-approx  | EDENSCH  | 10000 | 0.07403707504272461   | 21     | 60003.28459221414       | 0.0007410283329844152  | 81       | 23       | 2        | 6         | --       |
| scipy_lbfgs | EDENSCH  | 10000 | 0.09115743637084961   | 25     | 60003.2845921351        | 0.000815027641022148   | 31       | 31       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | ENGVAL1  | 5000  | 0.024688005447387695  | 14     | 5548.668419631578       | 0.0008584494429729601  | 62       | 16       | 1        | 2         | --       |
| QPS-approx  | ENGVAL1  | 5000  | 0.019068241119384766  | 13     | 5548.668419666806       | 0.0009865136337319092  | 57       | 15       | 2        | 5         | --       |
| scipy_lbfgs | ENGVAL1  | 5000  | 0.020003557205200195  | 15     | 5548.668419476293       | 0.000599333031679361   | 17       | 17       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | FLETCBV3 | 5000  | 16.7094886302948      | 5000   | -1.2559564185343042e+17 | 1.4867929627937786     | 19477    | 5002     | 75       | 135       | --       |
| QPS-approx  | FLETCBV3 | 5000  | 12.783885717391968    | 5000   | -9156704686633.66       | 2.634442823253725      | 14319    | 5002     | 813      | 1755      | --       |
| scipy_lbfgs | FLETCBV3 | 5000  | 11.462365865707397    | 5000   | -1.2993626699079789e+17 | 2.307855135282774      | 5063     | 5063     | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | FLETCHCR | 1000  | 0.052503108978271484  | 188    | 1.7515315140418583e-07  | 0.0009223327801333362  | 751      | 190      | 1        | 1         | --       |
| QPS-approx  | FLETCHCR | 1000  | 0.01907658576965332   | 69     | 5.91494131950448e-07    | 0.0009413679232924239  | 247      | 71       | 5        | 4         | --       |
| scipy_lbfgs | FLETCHCR | 1000  | 1.0416254997253418    | 4927   | 6.6732919056730784e-09  | 0.0006500837181893382  | 5730     | 5730     | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | FMINSURF | 5625  | 0.343951940536499     | 257    | 1.002912987215703       | 0.0009819795468682907  | 951      | 259      | 12       | 5         | --       |
| QPS-approx  | FMINSURF | 5625  | 0.44068479537963867   | 329    | 1.0015620762569726      | 0.0009070182754380827  | 1182     | 331      | 21       | 20        | --       |
| scipy_lbfgs | FMINSURF | 5625  | 0.22993707656860352   | 178    | 1.0173996712515092      | 0.0009285898039954368  | 183      | 183      | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | LIARWHD  | 5000  | 0.043335676193237305  | 44     | 1.4774867020773952e-07  | 2.176739416908715e-05  | 172      | 46       | 7        | 12        | --       |
| QPS-approx  | LIARWHD  | 5000  | 0.030184030532836914  | 32     | 1.9707289329125725e-12  | 6.765153577638214e-05  | 126      | 34       | 6        | 18        | --       |
| scipy_lbfgs | LIARWHD  | 5000  | 0.02402043342590332   | 23     | 1.0387284996222966e-15  | 6.520133757788904e-06  | 27       | 27       | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | MOREBV   | 5000  | 0.003521442413330078  | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 2        | 2        | 0        | 0         | --       |
| QPS-approx  | MOREBV   | 5000  | 0.0018544197082519531 | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 2        | 2        | 0        | 0         | --       |
| scipy_lbfgs | MOREBV   | 5000  | 0.007545948028564453  | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 1        | 1        | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
| QPS         | NCB20    | 5010  | 1.4852352142333984    | 309    | -852.8804875607369      | 0.0008581792552408984  | 1053     | 311      | 37       | 25        | --       |
| QPS-approx  | NCB20    | 5010  | 1.9351258277893066    | 415    | -914.3915037702592      | 0.0008568853483095218  | 1344     | 417      | 67       | 85        | --       |
| scipy_lbfgs | NCB20    | 5010  | 0.7036974430084229    | 168    | -1204.2344438028408     | 0.0009041407108600907  | 192      | 192      | nan      | nan       | nan      |
| --          | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --        | --       |
