| Algorithm      | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax                  |
|----------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+-------------------------|
| QPS            | 10FOLDTR   | 1000   | 0.0001304149627685547  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --                      |
| QPS-approx     | 10FOLDTR   | 1000   | 6.747245788574219e-05  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --                      |
| QPS-matteo-box | 10FOLDTR   | 1000   | 6.079673767089844e-05  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | -inf                    |
| QPS-roma-box   | 10FOLDTR   | 1000   | 5.7697296142578125e-05 | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | -inf                    |
| scipy_lbfgs    | 10FOLDTR   | 1000   | 0.0014357566833496094  | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan                     |
| scipy_cg       | 10FOLDTR   | 1000   | 0.00025343894958496094 | 0      | 0.0                      | 0.0                     | 1        | 1        | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | ARGLINA    | 200    | 0.0024118423461914062  | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | --        | --                      |
| QPS-approx     | ARGLINA    | 200    | 0.02410149574279785    | 1      | 199.9999999999984        | 3.092848186933565e-08   | 7        | 3        | 0        | --        | --                      |
| QPS-matteo-box | ARGLINA    | 200    | 0.0016105175018310547  | 1      | 199.99999999999918       | 1.0053416432675978e-13  | 8        | 3        | 1        | 0         | -inf                    |
| QPS-roma-box   | ARGLINA    | 200    | 0.0015048980712890625  | 1      | 199.9999999999984        | 3.092848186933565e-08   | 7        | 3        | 0        | 0         | -inf                    |
| scipy_lbfgs    | ARGLINA    | 200    | 0.0022733211517333984  | 2      | 200.00000000000094       | 1.3821756239540345e-13  | 4        | 4        | nan      | nan       | nan                     |
| scipy_cg       | ARGLINA    | 200    | 0.0029916763305664062  | 2      | 200.00000050045207       | 0.00010004530342886849  | 6        | 6        | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | ARGLINB    | 200    | 0.06588077545166016    | 50     | 99.62546816740293        | 6.234610918909311e-05   | 436      | 52       | 8        | --        | --                      |
| QPS-approx     | ARGLINB    | 200    | 4.142341613769531      | 5000   | 7229221.494470139        | 4976747182.321994       | 25001    | 5002     | 1        | --        | --                      |
| QPS-matteo-box | ARGLINB    | 200    | 0.06420564651489258    | 50     | 99.62546816740293        | 6.234610918909311e-05   | 436      | 52       | 8        | 0         | 1.0000000000000002      |
| QPS-roma-box   | ARGLINB    | 200    | 4.269634962081909      | 5000   | 7229221.494470139        | 4976747182.321994       | 25001    | 5002     | 1        | 0         | 1.0                     |
| scipy_lbfgs    | ARGLINB    | 200    | 0.024739742279052734   | 3      | 99.62546815795879        | 0.08822573197539896     | 54       | 54       | nan      | nan       | nan                     |
| scipy_cg       | ARGLINB    | 200    | 0.0062656402587890625  | 1      | 1006514208562188.9       | 58723612087300.555      | 12       | 11       | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | ARGLINC    | 200    | 0.09016585350036621    | 56     | 101.12547050925644       | 0.00023961480474099517  | 635      | 58       | 9        | --        | --                      |
| QPS-approx     | ARGLINC    | 200    | 4.099303960800171      | 5000   | 444286.3333299033        | 1218278660.9998264      | 25002    | 5002     | 1        | --        | --                      |
| QPS-matteo-box | ARGLINC    | 200    | 0.07861447334289551    | 52     | 101.1254705089368        | 0.000993008608929813    | 552      | 55       | 8        | 0         | 1.0000000000000004      |
| QPS-roma-box   | ARGLINC    | 200    | 4.226806163787842      | 5000   | 444286.3333299033        | 1218278660.9998264      | 25002    | 5002     | 1        | 0         | 0.9999999999999998      |
| scipy_lbfgs    | ARGLINC    | 200    | 0.0026366710662841797  | 3      | 101.12547051028184       | 0.0007851018017390743   | 5        | 5        | nan      | nan       | nan                     |
| scipy_cg       | ARGLINC    | 200    | 0.005808353424072266   | 3      | 101.12547050887085       | 0.0005857261567143723   | 12       | 12       | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | ARGTRIGLS  | 200    | 0.23929095268249512    | 321    | 5.080355998066144e-10    | 0.0007316255874838965   | 1294     | 323      | 1        | --        | --                      |
| QPS-approx     | ARGTRIGLS  | 200    | 0.2833118438720703     | 358    | 1.8524655107049649e-09   | 0.0008772768462861733   | 1792     | 360      | 0        | --        | --                      |
| QPS-matteo-box | ARGTRIGLS  | 200    | 0.2471752166748047     | 321    | 5.080355998066144e-10    | 0.0007316255874838965   | 1294     | 323      | 1        | 0         | 0.004328833678222267    |
| QPS-roma-box   | ARGTRIGLS  | 200    | 0.2909262180328369     | 358    | 1.8524655107049649e-09   | 0.0008772768462861733   | 1792     | 360      | 0        | 0         | 0.36602519056010163     |
| scipy_lbfgs    | ARGTRIGLS  | 200    | 0.2585177421569824     | 447    | 4.339614090088769e-08    | 0.0009929626527197105   | 460      | 460      | nan      | nan       | nan                     |
| scipy_cg       | ARGTRIGLS  | 200    | 0.8834652900695801     | 970    | 1.0103427466216911e-07   | 0.0006348756218849921   | 1472     | 1472     | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BDEXP      | 5000   | 0.009292840957641602   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --                      |
| QPS-approx     | BDEXP      | 5000   | 0.010464191436767578   | 6      | 0.1396484491027803       | 0.0003197088807170694   | 32       | 8        | 0        | --        | --                      |
| QPS-matteo-box | BDEXP      | 5000   | 0.008941411972045898   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | 0         | -0.9999995102396961     |
| QPS-roma-box   | BDEXP      | 5000   | 0.010793209075927734   | 6      | 0.13286693067877986      | 0.00030175585972003075  | 32       | 8        | 0        | 0         | -0.999465413671719      |
| scipy_lbfgs    | BDEXP      | 5000   | 0.015987396240234375   | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan                     |
| scipy_cg       | BDEXP      | 5000   | 0.009840011596679688   | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BOX        | 10000  | 0.07264566421508789    | 14     | -1864.5379264877427      | 0.0006488359128264953   | 88       | 16       | 2        | --        | --                      |
| QPS-approx     | BOX        | 10000  | 0.03755688667297363    | 9      | -1864.5379265508002      | 0.00011536180500582027  | 43       | 11       | 1        | --        | --                      |
| QPS-matteo-box | BOX        | 10000  | 0.08184242248535156    | 12     | -1864.5379264812234      | 1.507209366247153e-05   | 66       | 30       | 1        | 0         | 0.3943727246156678      |
| QPS-roma-box   | BOX        | 10000  | 0.06025409698486328    | 9      | -1864.5379265508002      | 0.00011536180500582027  | 53       | 21       | 1        | 0         | 0.9999328281648701      |
| scipy_lbfgs    | BOX        | 10000  | 0.036440134048461914   | 9      | -1864.5379265531467      | 0.000816277283837763    | 11       | 11       | nan      | nan       | nan                     |
| scipy_cg       | BOX        | 10000  | 0.050567626953125      | 8      | -1864.5379264343999      | 8.625792894789708e-06   | 29       | 19       | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BOXPOWER   | 20000  | 0.34209561347961426    | 68     | 0.04713448651689355      | 0.0009501941705622463   | 751      | 70       | 10       | --        | --                      |
| QPS-approx     | BOXPOWER   | 20000  | 0.02783346176147461    | 9      | 0.04714562374064327      | 0.0003587833671571672   | 53       | 11       | 1        | --        | --                      |
| QPS-matteo-box | BOXPOWER   | 20000  | 0.10156416893005371    | 17     | 0.04714421873438431      | 0.0008632936193216922   | 165      | 41       | 2        | 0         | 0.7602514578500347      |
| QPS-roma-box   | BOXPOWER   | 20000  | 0.03101801872253418    | 10     | 0.04714561869203938      | 0.0004199454435495076   | 58       | 12       | 1        | 0         | 0.7055280807025901      |
| scipy_lbfgs    | BOXPOWER   | 20000  | 0.07405972480773926    | 15     | 0.047145609369737586     | 0.00016861242357407713  | 19       | 19       | nan      | nan       | nan                     |
| scipy_cg       | BOXPOWER   | 20000  | 0.06232810020446777    | 13     | 0.047143268234093115     | 0.0005863676342822144   | 43       | 43       | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BRATU1D    | 5001   | 7.715084791183472      | 5000   | nan                      | nan                     | 13002    | 5002     | 1000     | --        | --                      |
| QPS-approx     | BRATU1D    | 5001   | 8.06224799156189       | 5000   | nan                      | nan                     | 14002    | 5002     | 1000     | --        | --                      |
| QPS-matteo-box | BRATU1D    | 5001   | 12.541990995407104     | 5000   | 10330.21393010519        | 525.0755163138965       | 19704    | 5007     | 44       | 0         | 0.01764679617879544     |
| QPS-roma-box   | BRATU1D    | 5001   | 19.28535294532776      | 5000   | 17102.16752912575        | 46.33414937945781       | 27537    | 7952     | 38       | 0         | 0.9481236098512971      |
| scipy_lbfgs    | BRATU1D    | 5001   | 9.819172620773315      | 5000   | 20708.922532274657       | 32.65796602386399       | 5129     | 5129     | nan      | nan       | nan                     |
| scipy_cg       | BRATU1D    | 5001   | 12.303966045379639     | 5000   | 236622.90154208837       | 17.695838404702954      | 7564     | 7564     | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BROWNAL    | 200    | 0.003386259078979492   | 5      | 1.26968771350189e-07     | 0.0007091192522516118   | 35       | 7        | 1        | --        | --                      |
| QPS-approx     | BROWNAL    | 200    | 0.0033464431762695312  | 5      | 1.26968771350189e-07     | 0.0007091192522516118   | 36       | 7        | 1        | --        | --                      |
| QPS-matteo-box | BROWNAL    | 200    | 0.0031893253326416016  | 5      | 1.26968771350189e-07     | 0.0007091192522516118   | 35       | 7        | 1        | 0         | -inf                    |
| QPS-roma-box   | BROWNAL    | 200    | 0.0032913684844970703  | 5      | 1.26968771350189e-07     | 0.0007091192522516118   | 36       | 7        | 1        | 0         | -inf                    |
| scipy_lbfgs    | BROWNAL    | 200    | 0.0014348030090332031  | 3      | 1.7619918409163016e-08   | 0.0002538012048345164   | 4        | 4        | nan      | nan       | nan                     |
| scipy_cg       | BROWNAL    | 200    | 0.0031986236572265625  | 2      | 2.9502017002940446e-08   | 0.0003344660383509404   | 12       | 9        | nan      | nan       | nan                     |
| --             | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --                      |
| QPS            | BROWNALE   | 200    | 5.507469177246094e-05  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --                      |
| QPS-approx     | BROWNALE   | 200    | 4.458427429199219e-05  | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | --        | --                      |
| QPS-matteo-box | BROWNALE   | 200    | 4.2438507080078125e-05 | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | -inf                    |
| QPS-roma-box   | BROWNALE   | 200    | 4.1484832763671875e-05 | 0      | 0.0                      | 0.0                     | 2        | 2        | 0        | 0         | -inf                    |
