| Algorithm    | prob     | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | cosmin                  | cosmax                  |
|--------------+----------+-------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+-------------------------+-------------------------|
| QPS          | GENROSE  | 500   | 0.21107149124145508   | 1248   | 1.0000000028289233      | 0.0007101795452030505  | 4884     | 1250     | 19       | --                      | --                      |
| QPS-roma     | GENROSE  | 500   | 2.3736283779144287    | 5000   | 487.9290177966826       | 4.303500252488268      | 58340    | 5002     | 314      | -1.0                    | 0.9999999760166123      |
| QPS-roma_box | GENROSE  | 500   | 1.431427240371704     | 1221   | 1.000000003682098       | 0.0007556373741403513  | 14865    | 10099    | 12       | -0.9884493418009079     | 0.18460805270293754     |
| scipy_lbfgs  | GENROSE  | 500   | 0.12581086158752441   | 1076   | 1.000000005339636       | 0.0009051731394819594  | 1312     | 1312     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | ARWHEAD  | 5000  | 0.015200614929199219  | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 40       | 9        | 2        | --                      | --                      |
| QPS-roma     | ARWHEAD  | 5000  | 0.02029275894165039   | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 61       | 9        | 2        | -0.09680639869621253    | -0.09680639869621253    |
| QPS-roma_box | ARWHEAD  | 5000  | 0.08851861953735352   | 6      | 5.703712951810047e-05   | 0.000523305739585922   | 130      | 103      | 1        | -0.9999904489560518     | 8.41019894204581e-07    |
| scipy_lbfgs  | ARWHEAD  | 5000  | 0.013286590576171875  | 12     | 6.459095702737727e-09   | 0.0007540852963143579  | 14       | 14       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | BROYDN7D | 5000  | 7.779549598693848     | 5000   | 924.5883829776818       | 1.487729703774792      | 18892    | 5002     | 181      | --                      | --                      |
| QPS-roma     | BROYDN7D | 5000  | 7.837023973464966     | 2664   | 1862.3810434496802      | 0.0005977649008266361  | 22892    | 2666     | 325      | -0.9999999999999998     | 0.9999998973170436      |
| QPS-roma_box | BROYDN7D | 5000  | 0.11847352981567383   | 32     | 3441.3459131893856      | 0.0009676711303625574  | 193      | 85       | 2        | -0.9774736549576466     | 0.09894232151423409     |
| scipy_lbfgs  | BROYDN7D | 5000  | 2.087313652038574     | 1636   | 1987.5706626513738      | 0.0009273993698947214  | 1670     | 1670     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | CRAGGLVY | 5000  | 0.10455894470214844   | 70     | 1688.2153105399518      | 0.0009250491914652124  | 252      | 72       | 7        | --                      | --                      |
| QPS-roma     | CRAGGLVY | 5000  | 0.8020884990692139    | 216    | 1688.2153113808604      | 0.000987845170076931   | 2298     | 218      | 17       | -0.9999999999999982     | 0.9999999999927215      |
| QPS-roma_box | CRAGGLVY | 5000  | 0.32988548278808594   | 64     | 1688.2153102926218      | 0.0009471373613642057  | 487      | 253      | 2        | -0.9533461423480296     | 0.10649074576173828     |
| scipy_lbfgs  | CRAGGLVY | 5000  | 0.08868956565856934   | 60     | 1688.2153103078067      | 0.0008279815362228129  | 73       | 73       | nan      | nan                     | nan                     |
