| Algorithm    | prob     | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | cosmin               | cosmax                 |
|--------------+----------+-------+-----------------------+--------+-------------------------+------------------------+----------+----------+----------+----------------------+------------------------|
| QPS          | GENROSE  | 500   | 0.21449923515319824   | 1248   | 1.0000000028289233      | 0.0007101795452030505  | 4884     | 1250     | 19       | --                   | --                     |
| QPS-roma     | GENROSE  | 500   | 2.309072256088257     | 5000   | 487.9290177966826       | 4.303500252488268      | 58340    | 5002     | 314      | -1.0                 | 0.9999999760166123     |
| QPS-roma_box | GENROSE  | 500   | 0.21003484725952148   | 1180   | 1.0000000025885105      | 0.0006617697870138595  | 4811     | 1259     | 1        | -0.6719647473663046  | 0.5305502570796211     |
| scipy_lbfgs  | GENROSE  | 500   | 0.12350130081176758   | 1076   | 1.000000005339636       | 0.0009051731394819594  | 1312     | 1312     | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
| QPS          | ARWHEAD  | 5000  | 0.014392375946044922  | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 40       | 9        | 2        | --                   | --                     |
| QPS-roma     | ARWHEAD  | 5000  | 0.018995046615600586  | 7      | 0.00012410005983798378  | 0.0007719135626205187  | 61       | 9        | 2        | -0.09680639869621253 | -0.09680639869621253   |
| QPS-roma_box | ARWHEAD  | 5000  | 0.017728567123413086  | 7      | 4.051503577073845e-11   | 2.5833909649315682e-05 | 43       | 13       | 1        | -0.09680639869621253 | 0.0004992791970179173  |
| scipy_lbfgs  | ARWHEAD  | 5000  | 0.02017378807067871   | 12     | 6.459095702737727e-09   | 0.0007540852963143579  | 14       | 14       | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
| QPS          | BROYDN7D | 5000  | 7.4132773876190186    | 5000   | 924.5883829776818       | 1.487729703774792      | 18892    | 5002     | 181      | --                   | --                     |
| QPS-roma     | BROYDN7D | 5000  | 7.582754135131836     | 2664   | 1862.3810434496802      | 0.0005977649008266361  | 22892    | 2666     | 325      | -0.9999999999999998  | 0.9999998973170436     |
| QPS-roma_box | BROYDN7D | 5000  | 8.397282838821411     | 5000   | 734.0319646852228       | 1.9345055092745236     | 20399    | 5336     | 2        | -0.9922742847276136  | 0.5188030312757604     |
| scipy_lbfgs  | BROYDN7D | 5000  | 2.0761711597442627    | 1636   | 1987.5706626513738      | 0.0009273993698947214  | 1670     | 1670     | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
| QPS          | CRAGGLVY | 5000  | 0.10478711128234863   | 70     | 1688.2153105399518      | 0.0009250491914652124  | 252      | 72       | 7        | --                   | --                     |
| QPS-roma     | CRAGGLVY | 5000  | 0.7935304641723633    | 216    | 1688.2153113808604      | 0.000987845170076931   | 2298     | 218      | 17       | -0.9999999999999982  | 0.9999999999927215     |
| QPS-roma_box | CRAGGLVY | 5000  | 0.14390134811401367   | 69     | 1688.2153102145066      | 0.0006947739095402444  | 303      | 99       | 3        | -0.9984680182879431  | 0.17221310553483346    |
| scipy_lbfgs  | CRAGGLVY | 5000  | 0.09011340141296387   | 60     | 1688.2153103078067      | 0.0008279815362228129  | 73       | 73       | nan      | nan                  | nan                    |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                   | --                     |
