| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.03244614601135254    | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 90.0518524646759       | 5000   | 274.6251709128353        | 2.821147095412016       | 49771    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 346.1604835987091      | 5000   | 276.1251684689014        | 2391.500452503795       | 235478   | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 32.948291301727295     | 1565   | 5.73000038632477e-11     | 0.0008321406054197959   | 4695     | 1566     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.010947942733764648   | 5      | 0.22271663694927527      | 0.0005652143941111492   | 15       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BOX        | 10000  | 0.025244712829589844   | 6      | -1864.537926555566       | 3.12493830889049e-05    | 22       | 7        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BOXPOWER   | 10000  | 0.0101165771484375     | 7      | 0.04711154117572637      | 0.0005984560044715037   | 23       | 8        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BRATU1D    | 5001   | 0.0022742748260498047  | 0      | -inf                     | 5003999.999680006       | 3        | 1        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROWNAL    | 1000   | 0.03231692314147949    | 2      | 2.7302687588464988e-11   | 8.501546970496321e-05   | 12       | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROYDN3DLS | 5000   | 0.02159285545349121    | 20     | 3.9227221454395555e-08   | 0.0006637125695508042   | 60       | 21       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROYDNBDLS | 5000   | 0.04678463935852051    | 28     | 1.9121826929808898e-07   | 0.0007275885984956524   | 84       | 29       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CHEBYQAD   | 1000   | 2853.326017856598      | 4746   | 0.0077114502107853       | 0.0009670112379043644   | 23140    | 4747     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CHNRSNBM   | 1000   | 2.202139377593994      | 5000   | 78.05245040415349        | 1.7324113412391295      | 15122    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CLPLATEA   | 4970   | 0.5762555599212646     | 307    | -0.012544316516376962    | 0.0009539628028049901   | 924      | 308      | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CURLY30    | 10000  | 16.703092336654663     | 5000   | -1003162.1426388514      | 0.14017376052136127     | 15005    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CVXBQP1    | 10000  | 3.0721981525421143     | 2248   | 1.2723711732807495e-06   | 0.0009960617137095705   | 6746     | 2249     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CYCLIC3LS  | 100002 | 115.07154250144958     | 5000   | 1169618.4880713082       | 31850.499984532053      | 15123    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CYCLOOCFLS | 29996  | 35.848201513290405     | 5000   | 2189.672349127896        | 3.946181911924236       | 15688    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CYCLOOCTLS | 29996  | 36.37839674949646      | 5000   | 2185.9804635958276       | 2.8514321223349284      | 15665    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DEGDIAG    | 100001 | 0.026935100555419922   | 2      | 1.661171474547345e-11    | 1.8227204190424118e-08  | 7        | 3        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DEGTRID    | 100001 | 0.2947850227355957     | 18     | -99999.49999348707       | 0.0009066226613907435   | 54       | 19       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | ARWHEAD    | 5000   | 0.00729060173034668    | 5      | 3.9388384776017915e-08   | 0.0007174356443791448   | 15       | 6        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BDQRTIC    | 5000   | 1.977428913116455      | 1362   | 20006.256878513825       | 0.000947638521628655    | 4408     | 1363     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BROYDN7D   | 5000   | 3.7047579288482666     | 1412   | 2006.6215370873565       | 0.0007335795210946516   | 4237     | 1413     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | BRYBND     | 5000   | 0.04688692092895508    | 28     | 1.9121826929808898e-07   | 0.0007275885984956524   | 84       | 29       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CHAINWOO   | 4000   | 6.467418432235718      | 5000   | 10334.006448379185       | 6.867996405125419       | 15097    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CLPLATEB   | 4970   | 0.18228864669799805    | 98     | -0.004958482880649835    | 0.0009804252100556864   | 294      | 99       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CLPLATEC   | 4970   | 6.888108253479004      | 3613   | -0.005020557732161579    | 0.0008690144707526513   | 10839    | 3614     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | COSINE     | 10000  | 0.023752927780151367   | 8      | -9998.99999994983        | 0.0009890443200370935   | 25       | 9        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CRAGGLVY   | 5000   | 0.12013649940490723    | 52     | 1688.2153103454702       | 0.000995979868950947    | 158      | 53       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CURLY10    | 10000  | 9.39568829536438       | 5000   | -1003162.6625503881      | 0.02894045015018299     | 15000    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | CURLY20    | 10000  | 12.69924807548523      | 5000   | -1003162.3763567253      | 0.0958921943674722      | 15003    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DEGTRID2   | 100001 | 0.2938375473022461     | 18     | -99999.49999348707       | 0.0009066226613907435   | 54       | 19       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGIQB    | 1000   | 0.2152843475341797     | 495    | nan                      | 7.946084794299056e+151  | 2560     | 496      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGIQE    | 1000   | 0.20261383056640625    | 487    | nan                      | 4.999489530583787e+151  | 2537     | 488      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGIQT    | 1000   | 0.19842863082885742    | 496    | nan                      | 1.6107068574360063e+152 | 2563     | 497      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGNQB    | 1000   | 0.19930815696716309    | 497    | nan                      | 2.11032435399828e+152   | 2566     | 498      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGNQE    | 1000   | 0.20604920387268066    | 495    | nan                      | 5.11852803583514e+151   | 2560     | 496      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-Newton_Matteo | DIAGNQT    | 1000   | 0.19520068168640137    | 491    | nan                      | 3.367197324584456e+150  | 2548     | 492      | 1        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
