| Algorithm   | prob     |     n |           t |   n_it |            f_opt |      g_norm |   fevals |   gevals |   nfails |        cosmin |         cosmax |
|-------------+----------+-------+-------------+--------+------------------+-------------+----------+----------+----------+---------------+----------------|
| QPS-roma    | GENROSE  |   500 |  2.34458    |   1026 |      1           | 0.000429746 |    53435 |     1028 |        2 |  -0.999916    |    0.188699    |
| scipy_lbfgs | GENROSE  |   500 |  0.132893   |   1076 |      1           | 0.000905173 |     1312 |     1312 |      nan | nan           |  nan           |
| QPS-roma    | ARWHEAD  |  5000 |  0.0783455  |      6 |      0           | 3.67887e-05 |      237 |        8 |        1 |  -0.0968064   |   -0.0968064   |
| scipy_lbfgs | ARWHEAD  |  5000 |  0.0262294  |     12 |      6.4591e-09  | 0.000754085 |       14 |       14 |      nan | nan           |  nan           |
| QPS-roma    | BROYDN7D |  5000 | 24.9955     |   1360 |   1960           | 0.000706245 |    75744 |     1362 |        1 |  -0.789175    |    0.000486223 |
| scipy_lbfgs | BROYDN7D |  5000 |  2.39349    |   1636 |   1987.57        | 0.000927399 |     1670 |     1670 |      nan | nan           |  nan           |
| QPS-roma    | CRAGGLVY |  5000 |  0.991645   |     56 |   1688.22        | 0.000826078 |     2780 |       58 |        1 |  -0.163855    |    0.0111393   |
| scipy_lbfgs | CRAGGLVY |  5000 |  0.0997813  |     60 |   1688.22        | 0.000827982 |       73 |       73 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANA |  3000 |  0.0164485  |      5 |      1.00003     | 0.000281375 |      120 |        7 |        1 |  -1.52262e-08 |   -1.52262e-08 |
| scipy_lbfgs | DIXMAANA |  3000 |  0.00718546 |      9 |      1.00026     | 0.00080197  |       11 |       11 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANB |  3000 |  0.0121608  |      5 |      1           | 5.31059e-05 |       90 |        7 |        1 | inf           | -inf           |
| scipy_lbfgs | DIXMAANB |  3000 |  0.00743198 |      9 |      1.00001     | 0.000615803 |       11 |       11 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANC |  3000 |  0.0135934  |      5 |      1           | 0.000456669 |       95 |        7 |        1 | inf           | -inf           |
| scipy_lbfgs | DIXMAANC |  3000 |  0.010143   |     11 |      1           | 8.29907e-05 |       13 |       13 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAAND |  3000 |  0.0230906  |      6 |      1           | 5.37187e-06 |      153 |        8 |        1 |  -0.187389    |   -0.187389    |
| scipy_lbfgs | DIXMAAND |  3000 |  0.00937915 |     12 |      1.00001     | 0.000701989 |       14 |       14 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANE |  3000 |  0.402988   |     65 |      1.00048     | 0.000978595 |     2853 |       67 |        1 |  -0.123834    |    8.83029e-07 |
| scipy_lbfgs | DIXMAANE |  3000 |  0.0617452  |     76 |      1.00121     | 0.000874208 |       81 |       81 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANF |  3000 |  0.165974   |     28 |      1.00054     | 0.000972261 |     1193 |       30 |        1 |  -0.740827    |    2.3735e-05  |
| scipy_lbfgs | DIXMAANF |  3000 |  0.0313232  |     46 |      1.00084     | 0.000927275 |       49 |       49 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANG |  3000 |  0.172819   |     29 |      1.00048     | 0.000875045 |     1263 |       31 |        1 |  -0.690363    |    3.48678e-05 |
| scipy_lbfgs | DIXMAANG |  3000 |  0.0300264  |     50 |      1.00061     | 0.000738805 |       52 |       52 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANH |  3000 |  0.148789   |     25 |      1.00049     | 0.000962532 |     1035 |       27 |        1 |  -0.623672    |    6.56471e-05 |
| scipy_lbfgs | DIXMAANH |  3000 |  0.0280533  |     43 |      1.00097     | 0.000965907 |       46 |       46 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANI |  3000 |  0.547683   |     86 |      1.00192     | 0.000989529 |     3858 |       88 |        1 |  -0.876529    |    3.20977e-05 |
| scipy_lbfgs | DIXMAANI |  3000 |  0.0562654  |     96 |      1.01126     | 0.000910887 |      100 |      100 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANJ |  3000 |  2.03851    |    275 |      1.15385     | 0.000937468 |    14657 |      277 |        1 |  -0.91338     |    2.62169e-05 |
| scipy_lbfgs | DIXMAANJ |  3000 |  0.0252912  |     38 |      1.00065     | 0.000532064 |       42 |       42 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANK |  3000 |  0.184305   |     30 |      1.00044     | 0.000425595 |     1322 |       32 |        1 |  -0.883439    |    2.00997e-05 |
| scipy_lbfgs | DIXMAANK |  3000 |  0.0188982  |     30 |      1.00153     | 0.000647089 |       33 |       33 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANL |  3000 |  1.33179    |    166 |      2.47325     | 0.00079413  |     9657 |      168 |        1 |  -0.886674    |    0.000478836 |
| scipy_lbfgs | DIXMAANL |  3000 |  0.0246499  |     37 |      1.0003      | 0.000829973 |       40 |       40 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANM |  3000 |  0.668901   |    105 |      1.00604     | 0.000979507 |     4781 |      107 |        1 |  -0.942391    |    0.245617    |
| scipy_lbfgs | DIXMAANM |  3000 |  0.0570159  |     95 |      1.01035     | 0.000829783 |      100 |      100 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANN |  3000 |  0.334639   |     51 |      1.00171     | 0.000975294 |     2380 |       53 |        1 |  -0.867913    |    2.17709e-05 |
| scipy_lbfgs | DIXMAANN |  3000 |  0.0286756  |     46 |      1.00305     | 0.00083068  |       48 |       48 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANO |  3000 |  0.27018    |     42 |      1.003       | 0.000909982 |     1919 |       44 |        1 |  -0.700933    |    2.62246e-05 |
| scipy_lbfgs | DIXMAANO |  3000 |  0.0340197  |     56 |      1.00089     | 0.000765005 |       60 |       60 |      nan | nan           |  nan           |
| QPS-roma    | DIXMAANP |  3000 |  0.249324   |     38 |      1.00271     | 0.000991984 |     1766 |       40 |        1 |  -0.984682    |    4.39668e-05 |
| scipy_lbfgs | DIXMAANP |  3000 |  0.0273621  |     43 |      1.00194     | 0.00086149  |       46 |       46 |      nan | nan           |  nan           |
| QPS-roma    | EDENSCH  | 10000 |  0.362885   |     17 |  60003.3         | 0.000802499 |      708 |       19 |        1 |  -0.911497    |    0.0327791   |
| scipy_lbfgs | EDENSCH  | 10000 |  0.0717289  |     25 |  60003.3         | 0.000815028 |       31 |       31 |      nan | nan           |  nan           |
