| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS               | ARGLINA    | 1000   | 0.031820058822631836   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS_New           | ARGLINA    | 1000   | 0.017309188842773438   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 7        | 3        | nan      | nan       | nan      |
| QPS-Newton        | ARGLINA    | 1000   | 0.020318984985351562   | 2      | 99.99999957090911        | 2.5742330884113984e-08  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.018769025802612305   | 2      | 99.99999957090574        | 6.890036804985122e-11   | 6        | 3        | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINA    | 1000   | 0.024013280868530273   | 3      | 99.99999957090634        | 6.624908954755426e-14   | 7        | 4        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.028567790985107422   | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.026630401611328125   | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGLINB    | 1000   | 568.8448143005371      | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS_New           | ARGLINB    | 1000   | 690.9609167575836      | 5000   | 274.62516827080657       | 25381.48114075139       | 488949   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGLINB    | 1000   | 124.35313773155212     | 5000   | 274.62516857050804       | 770.7826096192002       | 74653    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 504.43378734588623     | 5000   | 274.6251694238765        | 9327.24446508661        | 347613   | 5001     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINB    | 1000   | 527.6648683547974      | 5000   | 274.6251689820299        | 14328.195220869035      | 364659   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINB    | 1000   | 0.2889430522918701     | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
