| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+------------+--------+------------------------+--------+--------------------------+-------------------------+----------+----------+----------+-----------+----------|
| QPS               | ARGLINA    | 1000   | 0.03222346305847168    | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 8        | 3        | 1        | --        | --       |
| QPS_New           | ARGLINA    | 1000   | 0.017407655715942383   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 7        | 3        | nan      | nan       | nan      |
| QPS-Newton        | ARGLINA    | 1000   | 0.020435571670532227   | 2      | 100.0000136790562        | 0.00023755543663343728  | 7        | 3        | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINA    | 1000   | 0.01896381378173828    | 2      | 99.9999995709106         | 2.161283305102124e-13   | 6        | 3        | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINA    | 1000   | 0.010665655136108398   | 1      | 99.99999957090948        | 1.5723779246516745e-08  | 3        | 2        | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINA    | 1000   | 0.028670310974121094   | 2      | 99.99999957090671        | 3.38674401023642e-13    | 5        | 5        | nan      | nan       | nan      |
| scipy_cg          | ARGLINA    | 1000   | 0.02670907974243164    | 1      | 99.9999995709107         | 4.671324091432005e-13   | 5        | 5        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGLINB    | 1000   | 575.5436053276062      | 5000   | 274.62516810705995       | 25403.225509930402      | 401207   | 5002     | 1000     | --        | --       |
| QPS_New           | ARGLINB    | 1000   | 696.9630296230316      | 5000   | 274.62516827080657       | 25381.48114075139       | 488949   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGLINB    | 1000   | 465.1062834262848      | 5000   | 1.1129020888680694e+20   | 4.4471612063890266e+17  | 315001   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINB    | 1000   | 119.28982400894165     | 5000   | 274.62516864026804       | 47.824373533949256      | 69819    | 5001     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINB    | 1000   | 510.5907027721405      | 5000   | 274.6251696550842        | 11167.55256106332       | 347376   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINB    | 1000   | 0.29029321670532227    | 5      | 274.6251693463623        | 770.6508791092783       | 55       | 55       | nan      | nan       | nan      |
| scipy_cg          | ARGLINB    | 1000   | 0.0608983039855957     | 2      | 274.62516947342493       | 95.4438292235136        | 20       | 8        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGLINC    | 1000   | 41.184163331985474     | 5000   | 834.7031174613332        | 992605773.0494248       | 20021    | 5002     | 2        | --        | --       |
| QPS_New           | ARGLINC    | 1000   | 567.8476979732513      | 5000   | 276.12516808703833       | 3452.0720385983586      | 398058   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGLINC    | 1000   | 462.24554920196533     | 5000   | 1.1024225367451268e+20   | 4.4096989872616365e+17  | 315001   | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGLINC    | 1000   | 334.28149485588074     | 5000   | 276.12516912473933       | 14898.538448867155      | 223909   | 5001     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGLINC    | 1000   | 388.9316575527191      | 5000   | 276.1251698935323        | 13282.486685255077      | 262506   | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGLINC    | 1000   | 0.26526689529418945    | 8      | 276.1251693194977        | 34.62865340989083       | 50       | 50       | nan      | nan       | nan      |
| scipy_cg          | ARGLINC    | 1000   | 0.04124188423156738    | 1      | 5.597146795226573e+18    | 9.936152582346093e+16   | 9        | 7        | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | ARGTRIGLS  | 1000   | 33.27639102935791      | 1578   | 6.29966616333402e-11     | 0.0008734365879568643   | 6327     | 1580     | 1        | --        | --       |
| QPS_New           | ARGTRIGLS  | 1000   | 194.43033242225647     | 5000   | 1.850840539298417e-06    | 0.015214322359009314    | 106258   | 5002     | nan      | nan       | nan      |
| QPS-Newton        | ARGTRIGLS  | 1000   | 36.42465138435364      | 1619   | 1.5776797332076992e-07   | 0.0009918982005727285   | 6480     | 1620     | 0        | 0         | ----     |
| QPS-Newton_Matteo | ARGTRIGLS  | 1000   | 33.19976568222046      | 1565   | 3.816571789020686e-11    | 0.0009654735522595976   | 4695     | 1566     | 0        | 0         | ----     |
| QPS-Barzilai      | ARGTRIGLS  | 1000   | 149.8370339870453      | 5000   | 7.836379487330928e-07    | 0.005703076348500439    | 58509    | 5001     | 0        | 0         | ----     |
| scipy_lbfgs       | ARGTRIGLS  | 1000   | 41.7168607711792       | 2103   | 1.2321518713910233e-08   | 0.0008181717628932796   | 2175     | 2175     | nan      | nan       | nan      |
| scipy_cg          | ARGTRIGLS  | 1000   | 118.89344191551208     | 4186   | 2.6071759137981446e-07   | 0.0009994217028951322   | 6309     | 6309     | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS               | BDEXP      | 5000   | 0.009280920028686523   | 7      | 0.12447089364425656      | 0.00031802504607511464  | 23       | 9        | 1        | --        | --       |
| QPS_New           | BDEXP      | 5000   | 0.008080005645751953   | 5      | 0.1572872188558155       | 0.0004095242057058772   | 22       | 7        | nan      | nan       | nan      |
| QPS-Newton        | BDEXP      | 5000   | 0.010291814804077148   | 6      | 0.41209871167810974      | 0.000953355074483815    | 23       | 7        | 0        | 0         | ----     |
| QPS-Newton_Matteo | BDEXP      | 5000   | 0.004665374755859375   | 3      | 0.05945247379419527      | 0.00023193728337572917  | 9        | 4        | 0        | 0         | ----     |
| QPS-Barzilai      | BDEXP      | 5000   | 0.002362966537475586   | 2      | 0.0                      | 0.0                     | 3        | 3        | 0        | 0         | ----     |
| scipy_lbfgs       | BDEXP      | 5000   | 0.0156705379486084     | 9      | 0.3509771884672362       | 0.0008113657703203593   | 11       | 11       | nan      | nan       | nan      |
| scipy_cg          | BDEXP      | 5000   | 0.009737968444824219   | 3      | 0.22091352503048564      | 0.0006528444867541963   | 11       | 11       | nan      | nan       | nan      |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
