| Algorithm         | prob      | n     | t                      | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
|-------------------+-----------+-------+------------------------+--------+-------------------------+------------------------+----------+----------+----------+-----------+----------|
| NESTEROV          | ARWHEAD   | 5000  | 0.4526519775390625     | 291    | 2.7873234609288033e-08  | 0.0008179004355869312  | 589      | 583      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | ARWHEAD   | 5000  | 0.03075122833251953    | 8      | 1.4013762372755423e-09  | 2.5935306227076182e-06 | 109      | 10       | 2        | --        | --       |
| NESTEROV-bs_lbfgs | ARWHEAD   | 5000  | 0.16817188262939453    | 28     | 3.6402050904382754e-05  | 0.0004180390882311258  | 568      | 30       | 1        | --        | --       |
| scipy_lbfgs       | ARWHEAD   | 5000  | 0.019832611083984375   | 12     | 6.459095702737727e-09   | 0.0007540852963052447  | 14       | 14       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | BDQRTIC   | 100   | 0.40521979331970215    | 4980   | 378.769191878655        | 0.0009903409814547444  | 9964     | 9961     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | BDQRTIC   | 100   | 0.5647881031036377     | 3023   | 378.7691918488093       | 0.0009992261665967613  | 12241    | 3025     | 2        | --        | --       |
| NESTEROV-bs_lbfgs | BDQRTIC   | 100   | 0.18825769424438477    | 162    | 378.7691918360454       | 0.0005817843132457645  | 4059     | 164      | 4        | --        | --       |
| scipy_lbfgs       | BDQRTIC   | 100   | 0.0032448768615722656  | 37     | 378.7691918359752       | 0.0008471415135242466  | 41       | 41       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | BROYDN7D  | 5000  | 7.828885793685913      | 2481   | 2090.680102190264       | 0.0009545463224631299  | 4965     | 4963     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | BROYDN7D  | 5000  | 1.6089258193969727     | 47     | 3441.3459133820497      | 0.000669594838098142   | 3619     | 49       | 0        | --        | --       |
| NESTEROV-bs_lbfgs | BROYDN7D  | 5000  | 0.5618033409118652     | 82     | 3441.345913746207       | 0.0007657420143738491  | 1074     | 84       | 1        | --        | --       |
| scipy_lbfgs       | BROYDN7D  | 5000  | 3.341102361679077      | 1634   | 1988.601037401036       | 0.0007008963137673518  | 1675     | 1675     | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | BRYBND    | 5000  | 1.2490930557250977     | 637    | 1.6839308150744586e-08  | 0.0008237180451079293  | 1278     | 1275     | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | BRYBND    | 5000  | 1.2147071361541748     | 63     | 9.463907144698953e-08   | 0.0008466871621825085  | 4505     | 65       | 1        | --        | --       |
| NESTEROV-bs_lbfgs | BRYBND    | 5000  | 1.776247262954712      | 146    | 1.3796487292544963e-07  | 0.0009239776630568799  | 6150     | 148      | 2        | --        | --       |
| scipy_lbfgs       | BRYBND    | 5000  | 0.03685307502746582    | 22     | 6.832638193845875e-07   | 0.0009881969267761873  | 25       | 25       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CHAINWOO  | 4000  | 6.969299554824829      | 5000   | 12.421744921167113      | 0.007752125758904661   | 10002    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CHAINWOO  | 4000  | 4.388984680175781      | 3293   | 1.0000013121794924      | 0.0009978690846120966  | 13597    | 3295     | 13       | --        | --       |
| NESTEROV-bs_lbfgs | CHAINWOO  | 4000  | 41.475356578826904     | 3894   | 1.0000013915996042      | 0.000938202308671765   | 163964   | 3896     | 6        | --        | --       |
| scipy_lbfgs       | CHAINWOO  | 4000  | 5.447079181671143      | 5000   | 10334.27956342311       | 13.257870554912        | 5398     | 5398     | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CLPLATEB  | 4970  | 0.002129077911376953   | 0      | 0.0                     | 0.012037356830860726   | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CLPLATEB  | 4970  | 4.3934009075164795     | 161    | -0.0036128743952468685  | 0.0009779006769612957  | 13316    | 163      | 0        | --        | --       |
| NESTEROV-bs_lbfgs | CLPLATEB  | 4970  | 0.007192134857177734   | 4      | -0.0001383028979968505  | 0.0008566225162469762  | 13       | 6        | 1        | --        | --       |
| scipy_lbfgs       | CLPLATEB  | 4970  | 0.009900331497192383   | 2      | -0.0001261852420210387  | 0.0007400626523288994  | 5        | 5        | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CLPLATEC  | 4970  | 0.002261638641357422   | 0      | 0.0                     | 0.09900505037623081    | 1        | 2        | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CLPLATEC  | 4970  | 1.5922167301177979     | 639    | -8.658402831739602e-05  | 0.0009456922391165907  | 3274     | 641      | 123      | --        | --       |
| NESTEROV-bs_lbfgs | CLPLATEC  | 4970  | 1.2596819400787354     | 434    | -8.227637594918812e-05  | 0.0009494840086473231  | 2539     | 436      | 69       | --        | --       |
| scipy_lbfgs       | CLPLATEC  | 4970  | 7.695018529891968      | 5000   | -0.00401897974443495    | 0.010285066707587434   | 5132     | 5132     | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | COSINE    | 10000 | 0.06953167915344238    | 19     | -9998.999999999918      | 9.843596658460196e-05  | 51       | 39       | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | COSINE    | 10000 | 0.18466639518737793    | 7      | -9998.999999999865      | 0.00010270781096941451 | 354      | 9        | 0        | --        | --       |
| NESTEROV-bs_lbfgs | COSINE    | 10000 | 0.05038571357727051    | 6      | -9998.999999968988      | 0.0005987343987641461  | 91       | 8        | 1        | --        | --       |
| scipy_lbfgs       | COSINE    | 10000 | 0.04149270057678223    | 9      | -9998.999999997803      | 0.00013859219885436656 | 18       | 18       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CRAGGLVY  | 5000  | 12.725948572158813     | 5000   | 1688.2160598472844      | 0.06406048960195435    | 10004    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CRAGGLVY  | 5000  | 3.609779119491577      | 118    | 1688.2153110123452      | 0.0009558763488540303  | 9023     | 120      | 1        | --        | --       |
| NESTEROV-bs_lbfgs | CRAGGLVY  | 5000  | 0.8923068046569824     | 149    | 1688.2153100713613      | 0.0009738341966021649  | 1926     | 151      | 7        | --        | --       |
| scipy_lbfgs       | CRAGGLVY  | 5000  | 0.12126398086547852    | 60     | 1688.2153103076514      | 0.00082827266772823    | 73       | 73       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CURLY10   | 10000 | 10.336494207382202     | 5000   | -1003161.374719036      | 0.1321097755518047     | 10003    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CURLY10   | 10000 | 18.727718830108643     | 5000   | -1003160.7823501275     | 0.0178154913088735     | 46521    | 5002     | 819      | --        | --       |
| NESTEROV-bs_lbfgs | CURLY10   | 10000 | 149.3572804927826      | 5000   | -1003153.1670177627     | 0.2800668931247223     | 432121   | 5002     | 0        | --        | --       |
| scipy_lbfgs       | CURLY10   | 10000 | 9.462228536605835      | 5000   | -1003162.6317177769     | 0.02669290314410762    | 5154     | 5154     | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | CURLY20   | 10000 | 14.629421710968018     | 5000   | -1003159.2333277857     | 0.4038622180174663     | 10003    | 10001    | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | CURLY20   | 10000 | 16.882336854934692     | 5000   | -1003158.3724388505     | 0.04477557930145748    | 29263    | 5002     | 856      | --        | --       |
| NESTEROV-bs_lbfgs | CURLY20   | 10000 | 254.2490553855896      | 5000   | -1003135.9003996665     | 1.3623452235337368     | 566347   | 5002     | 0        | --        | --       |
| scipy_lbfgs       | CURLY20   | 10000 | 11.661370038986206     | 5000   | -1003162.2728929527     | 0.07618211283969285    | 5124     | 5124     | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | DIXMAANA1 | 3000  | 0.16199135780334473    | 237    | 1.0000002187108268      | 0.0009389325420179533  | 476      | 475      | nan      | nan       | nan      |
| NESTEROV-bs_dfbox | DIXMAANA1 | 3000  | 0.037154197692871094   | 4      | 1.000000801783912       | 4.4586742575408495e-05 | 299      | 6        | 0        | --        | --       |
| NESTEROV-bs_lbfgs | DIXMAANA1 | 3000  | 0.016465187072753906   | 4      | 1.0000023164029967      | 9.045584372867791e-05  | 114      | 6        | 0        | --        | --       |
| scipy_lbfgs       | DIXMAANA1 | 3000  | 0.0072438716888427734  | 9      | 1.0002602369299431      | 0.0008019704517380876  | 11       | 11       | nan      | nan       | nan      |
| --                | --        | --    | --                     | --     | --                      | --                     | --       | --       | --       | --        | --       |
| NESTEROV          | DIXMAANB  | 3000  | 0.3492872714996338     | 355    | 1.0000002395743266      | 0.0009816292661333854  | 712      | 711      | nan      | nan       | nan      |
