prob,t,n_it,f_opt,g_norm,fevals,gevals,tf,tg,to
ARWHEAD,0.005392789840698242,7,0.0,8.139978630418356e-10,26.0,8,0.001940011978149414,0.0015649795532226562,0.0
BDQRTIC,10.392689466476439,17232,20006.25687843472,5.312792356555917e-07,51889.0,17233,3.7424612045288086,4.104160308837891,0.0
BOX,0.11168885231018066,59,-1864.537926565906,2.3241151225761314e-09,178.0,60,0.0486149787902832,0.03925180435180664,0.0
BOXPOWER,1.0241150856018066,777,3.2250117351026912e-06,6.147621919747005e-09,2406.0,778,0.36656737327575684,0.2904186248779297,0.0
BROYDN3DLS,0.017455101013183594,32,5.735783209152316e-14,7.194413920884862e-07,96.0,33,0.005686283111572266,0.00561833381652832,0.0
BROYDN7D,1.474508285522461,1424,2006.5921662635124,7.010826763576006e-07,4272.0,1425,0.6424069404602051,0.6116869449615479,0.0
BROYDNBDLS,0.07113075256347656,96,1.950110164272949e-14,9.105280371846557e-07,290.0,97,0.026487112045288086,0.029155492782592773,0.0
BRYBND,0.07156682014465332,96,1.950110164272949e-14,9.105280371846557e-07,290.0,97,0.0267026424407959,0.02890491485595703,0.0
CHAINWOO,0.2810838222503662,559,12.42170910807249,8.197294130291022e-07,1705.0,560,0.12315869331359863,0.10920476913452148,0.0
COSINE,, nan, nan, nan,, nan, nan, nan, nan
CRAGGLVY,0.19987034797668454,208,1688.2153097142882,4.494067358251641e-07,678.0,209,0.0934295654296875,0.0714254379272461,0.0
CURLY10,, nan, nan, nan,, nan, nan, nan, nan
CURLY20,, nan, nan, nan,, nan, nan, nan, nan
CURLY30,, nan, nan, nan,, nan, nan, nan, nan
DIXMAANA1,0.002339363098144531,7,1.0000000000060643,1.203412993378622e-07,21.0,8,0.0007007122039794922,0.0007028579711914062,0.0
DIXMAANB,0.0038199424743652335,8,1.0000000000000446,3.3850806885020457e-07,24.0,9,0.0013494491577148438,0.0013461112976074219,0.0
DIXMAANC,0.0031299591064453125,8,1.000000000000007,1.1774448960256054e-07,24.0,9,0.001107931137084961,0.0011026859283447266,0.0
DIXMAAND,0.0037801265716552734,10,1.000000000000064,3.9881314646561394e-07,31.0,11,0.0013799667358398438,0.0013015270233154297,0.0
DIXMAANE1,0.05387592315673828,229,1.0000000004025835,9.480428743815705e-07,687.0,230,0.019641876220703125,0.01819777488708496,0.0
DIXMAANF,0.05697822570800781,170,1.0000000005305911,9.691911938305674e-07,510.0,171,0.02277207374572754,0.02113032341003418,0.0
DIXMAANG,0.05234384536743164,161,1.0000000005269445,9.451000510576009e-07,483.0,162,0.021167993545532227,0.01924300193786621,0.0
DIXMAANH,0.05263471603393555,163,1.000000000353847,9.113043419014894e-07,490.0,164,0.021287202835083008,0.019326210021972656,0.0
DIXMAANI1,0.8406438827514648,3667,1.0000000880226012,8.861897097005685e-07,11001.0,3668,0.3083467483520508,0.2860119342803955,0.0
DIXMAANJ,0.09733247756958008,292,1.0000003711875045,9.992428573787078e-07,876.0,293,0.0393366813659668,0.03628039360046387,0.0
DIXMAANK,0.07985615730285645,251,1.000000377040175,9.94984016744356e-07,753.0,252,0.03228116035461426,0.0295255184173584,0.0
DIXMAANL,0.07137203216552734,223,1.0000003695823605,9.960290990822912e-07,670.0,224,0.028865337371826172,0.026246309280395508,0.0
DIXMAANM1,0.8254337310791016,3615,1.0000001482983483,9.719958563420084e-07,10845.0,3616,0.30484461784362793,0.28342270851135254,0.0
DIXMAANN,0.24228787422180176,724,1.0000003182193813,9.795797481177555e-07,2172.0,725,0.09788870811462402,0.08983969688415527,0.0
DIXMAANO,0.20995354652404785,637,1.0000003285265642,9.99869859764778e-07,1911.0,638,0.08502507209777832,0.07823681831359863,0.0
DIXMAANP,0.335191011428833,1073,1.0000002327421194,9.732969225454586e-07,3219.0,1074,0.13695311546325684,0.12396812438964844,0.0
DIXON3DQ,6.288074254989624,10000,3.0288076549461273e-13,5.221149224077237e-08,30000.0,10001,2.015820264816284,1.625364065170288,0.0
DQDRTIC,0.008086681365966797,11,2.8401987728048843e-17,1.501500514511642e-07,37.0,12,0.003025531768798828,0.0024957656860351562,0.0
DQRTIC,0.016903400421142578,40,1.1895105119804541e-07,5.494455557487167e-07,145.0,41,0.005609035491943359,0.0036242008209228516,0.0
EDENSCH,0.013442516326904295,43,12003.284592020762,8.489453005022796e-07,134.0,44,0.00546717643737793,0.00476527214050293,0.0
EG2,0.002427816390991211,4,-998.9473933009535,3.0467346919585945e-07,12.0,5,0.0005815029144287109,0.0006759166717529297,0.0
EIGENALS,135.29454731941223,35856,1.89444401687516e-12,9.00208582427735e-07,107587.0,35857,58.40950298309326,73.77035117149353,0.0
EIGENBLS,63.042596340179436,16820,1.3156930229946341e-08,9.942345086386611e-07,50464.0,16821,27.418588399887085,34.160258054733276,0.0
EIGENCLS,45.9221887588501,11285,2.367250603668044e-12,9.627978212283755e-07,33863.0,11286,19.533164739608765,25.383782863616943,0.0
ENGVAL1,0.10968780517578124,177,5548.668419416152,7.706995397427363e-07,542.0,178,0.04345107078552246,0.03722214698791504,0.0
EXTROSNB,0.007355690002441406,40,4.51884146508357e-15,9.563560380437876e-07,123.0,41,0.001997709274291992,0.0018112659454345703,0.0
FLETBV3M,0.028769731521606445,29,-248338.21609127827,3.830255895231893e-07,87.0,30,0.013111352920532227,0.010636091232299805,0.0
FLETCBV2,0.0006196498870849608,0,-0.5002681698025546,7.996001439813359e-08,1.0,1,0.00017142295837402344,0.0003466606140136719,0.0
FLETCHCR,0.5600550174713135,4412,3.342645604851308e-13,9.323206650974167e-07,13242.0,4413,0.18373537063598633,0.17027974128723145,0.0
FMINSRF2,0.21584415435791016,340,1.0000240795310058,9.461755305226259e-07,1022.0,341,0.07372140884399414,0.08461284637451172,0.0
FMINSURF,0.2864236831665039,445,1.0000000013560835,9.519471172073783e-07,1339.0,446,0.09878659248352051,0.11474275588989258,0.0
FREUROTH,1.5192091464996338,2005,608046.1697246983,7.009052609419086e-06,6127.0,2005,0.6232624053955078,0.5732982158660889,0.0
GENHUMPS,7.503075122833253,6596,1.5447207646950613e-11,9.662131967371283e-07,19804.0,6597,3.820261001586914,2.77628493309021,0.0
JIMACK,1331.3187532424927,8350,0.8667932983080101,9.436281493215945e-07,25050.0,8351,797.7035510540009,532.6802589893341,0.0
KSSLS,0.11710047721862793,18,6.432029388270255e-17,9.499518256690083e-07,75.0,19,0.03760719299316406,0.07709026336669922,0.0
LIARWHD,0.035332918167114265,60,6.664814809561005e-23,1.2593446285791284e-09,187.0,61,0.013101577758789062,0.011881113052368164,0.0
MOREBV,0.00039267539978027344,0,1.039739759079886e-11,1.5993596166132203e-07,1.0,1,9.202957153320312e-05,0.0002262592315673828,0.0
MSQRTALS,2.824057579040528,3199,6.490560899116677e-10,9.112762263274066e-07,9613.0,3200,1.145505428314209,1.4903643131256104,0.0
MSQRTBLS,2.27116322517395,2639,9.311715915959102e-11,9.223661380402689e-07,7933.0,2640,0.9255802631378174,1.1933937072753906,0.0
NCB20,11.054718494415283,3339,-1158.010428321872,8.739881201341881e-07,10064.0,3340,5.816950798034668,4.653148412704468,0.0
NCB20B,11.258783102035522,3597,7351.3005910893635,8.060846862223414e-07,10799.0,3598,5.957444190979004,4.786604881286621,0.0
NONCVXU2,4.0735223293304434,6548,11584.88945741371,8.478460817862299e-07,19649.0,6549,1.6134543418884277,1.612309455871582,0.0
NONDIA,0.005316495895385742,9,3.9079380383743704e-24,8.501466197685797e-10,37.0,10,0.0018985271453857422,0.001497030258178711,0.0
NONDQUAR,1.5164051055908203,4868,1.9662297499199012e-06,9.140192535699383e-07,14611.0,4869,0.493619441986084,0.40355920791625977,0.0
PENALTY1,0.01308298110961914,77,0.009686198607671257,4.889504136555649e-07,261.0,78,0.0038928985595703125,0.002991199493408203,0.0
POWELLSG,0.08591961860656737,269,5.11754960945885e-07,9.268615848548995e-07,811.0,270,0.02751779556274414,0.021616458892822266,0.0
POWER,0.6862502098083496,1286,6.678397884197611e-10,9.55934461232889e-07,3895.0,1287,0.18027353286743164,0.16775918006896973,0.0
QUARTC,0.01531982421875,40,1.1895105119804541e-07,5.494455557487167e-07,145.0,41,0.0050792694091796875,0.0033075809478759766,0.0
SCHMVETT,0.0499269962310791,44,-14994.0,9.869766776751895e-07,132.0,45,0.021220922470092773,0.019905805587768555,0.0
SINQUAD,30.63008737564087,42860,-6748559.224769354,7.975695552886464e-07,135208.0,42861,13.414910316467285,10.954623937606812,0.0
SINQUAD2,9.661487579345703,14370,0.00012737571357994185,5.55265571648193e-07,43137.0,14371,3.8635964393615723,3.818418025970459,0.0
SPARSINE,120.50191593170166,142542,2.2176142331737955e-13,9.304602774600463e-07,427632.0,142543,47.316487550735474,52.78011083602905,0.0
SPARSQUR,0.023755788803100586,17,1.1109752747034724e-08,5.958712416926399e-07,59.0,18,0.007116079330444336,0.0104827880859375,0.0
SPINLS,302.3002002239228,1000000,0.0027347853602257073,0.39550598442642976,3000020.0,1000001,105.42248177528381,144.45278406143188,0.0
SPMSRTLS,0.155808687210083,201,3.2155992651283055e-11,9.61541605939198e-07,617.0,202,0.06234431266784668,0.060295820236206055,0.0
SROSENBR,0.07432913780212402,202,1.607500922992419e-12,9.523271060629668e-07,610.0,203,0.02251601219177246,0.020534753799438477,0.0
SSBRYBND,67.87913537025453,43905,5.609216285296322e-15,9.90051509442867e-07,471863.0,43906,46.22111678123474,13.63131332397461,0.0
SSCOSINE,, nan, nan, nan,, nan, nan, nan,, nan
