prob,t,n_it,f_opt,g_norm,fevals,gevals,tf,tg,to
ARWHEAD,0.01717686653137207,4,0.0,7.099563652071051e-05,49,37,0.00373077392578125,0.007247209548950195,0
BDQRTIC,0.1208958625793457,113,20006.256879743516,0.005094496517760358,320,309,0.022565841674804688,0.07027244567871094,0
BOX,0.027593374252319336,9,-1864.5379265651914,2.6044042877870766e-07,31,21,0.0074770450592041016,0.012167215347290039,0
BOXPOWER,0.08097481727600098,33,1.5014959562098498e-05,9.783214551398536e-07,99,99,0.016106367111206055,0.03707289695739746,0
BROYDN3DLS,0.023474693298339844,36,1.4380157904892326e-13,9.893979341215818e-07,76,76,0.004067182540893555,0.011399507522583008,0
BROYDN7D,1.512559413909912,1638,1893.1086981007616,3.87322284089997e-06,2360,2349,0.33717942237854004,0.9450678825378418,0
BROYDNBDLS,0.05855894088745117,63,3.7207176583165713e-13,8.362360702325173e-07,114,114,0.010932445526123047,0.03484058380126953,0
BRYBND,0.05473899841308594,63,3.7207176583165713e-13,8.362360702325173e-07,114,114,0.010140657424926758,0.03252530097961426,0
CHAINWOO,0.3029642105102539,506,4.572767194587136,5.702656622474933e-07,884,884,0.0679619312286377,0.17698049545288086,0
COSINE,0.021276473999023438,10,-9999.0,3.1380470835525276e-07,28,28,0.0044214725494384766,0.011945247650146484,0
CRAGGLVY,0.12745904922485352,104,1688.2153097146665,1.847531655441159e-05,226,218,0.03073263168334961,0.07443499565124512,0
CURLY10,67.06572222709656,77449,-1003162.8226052017,0.0004480561400274502,119274,119262,14.00886845588684,36.95249676704407,0
CURLY20,134.43704771995544,118948,-1003162.7748944177,0.0012944511555738475,183410,183399,29.51758360862732,79.80038833618164,0
CURLY30,196.69331669807434,134101,-1003162.7782682716,0.002108443723933061,207265,207253,45.09193658828735,122.75382924079895,0
DIXMAANA1,0.002508401870727539,4,1.0000000001956344,7.957433037739699e-07,11,11,0.0004458427429199219,0.0010237693786621094,0
DIXMAANB,0.003444671630859375,5,1.0000000000000013,5.1215706852982976e-08,13,13,0.0006818771362304688,0.0016486644744873047,0
DIXMAANC,0.00457310676574707,7,1.0000000000000013,7.066547748033628e-08,17,17,0.0009169578552246094,0.0022687911987304688,0
DIXMAAND,0.00451970100402832,8,1.0000000000000497,2.612549482809909e-07,17,17,0.0008871555328369141,0.0022301673889160156,0
DIXMAANE1,0.11290097236633301,370,1.0000000001761669,5.626622634158393e-07,676,676,0.020910024642944336,0.05560040473937988,0
DIXMAANF,0.14307928085327148,349,1.000000000290478,8.0941030420304e-07,647,647,0.0295257568359375,0.07878327369689941,0
DIXMAANG,0.1286318302154541,333,1.000000000724244,9.6879156280815e-07,597,597,0.026322126388549805,0.07030200958251953,0
DIXMAANH,0.11251473426818848,294,1.0000000002750447,7.902214250723158e-07,526,526,0.02319169044494629,0.0615997314453125,0
DIXMAANI1,0.6324799060821533,2155,1.0000007103662778,9.989713508532393e-07,4069,4069,0.11790323257446289,0.3151562213897705,0
DIXMAANJ,0.14074969291687012,352,1.0000002774630836,7.288974154433429e-07,643,643,0.028798341751098633,0.07691454887390137,0
DIXMAANK,0.11328864097595215,292,1.00000025024025,6.560350292473429e-07,531,531,0.023251056671142578,0.061637163162231445,0
DIXMAANL,0.11337590217590332,273,1.0000002545339612,8.708258793865241e-07,497,497,0.02286553382873535,0.062835693359375,0
DIXMAANM1,0.8086450099945068,2801,1.0000010343658874,9.327539015621647e-07,5156,5156,0.1494121551513672,0.40540456771850586,0
DIXMAANN,0.28883838653564453,723,1.0000005336991118,9.169811880915128e-07,1330,1330,0.05936765670776367,0.15891480445861816,0
DIXMAANO,0.2790799140930176,721,1.0000004814197998,7.973322938755803e-07,1302,1302,0.057351112365722656,0.15308094024658203,0
DIXMAANP,0.26155900955200195,673,1.0000004000230878,6.52184053070855e-07,1234,1234,0.05408763885498047,0.14357709884643555,0
DIXON3DQ,11.075076341629028,20345,0.0010018079391228647,9.531139437690683e-07,30776,30776,2.0103065967559814,4.837319374084473,0
DQDRTIC,0.006651163101196289,5,9.37027123303512e-21,1.4788906488316655e-09,15,15,0.0013098716735839844,0.0030837059020996094,0
DQRTIC,0.014956474304199219,18,2.387711263960466e-06,5.653438654864176e-07,70,65,0.0029184818267822266,0.005674123764038086,0
EDENSCH,0.02103447914123535,25,12003.284592020766,1.5228566931924092e-06,108,98,0.004593849182128906,0.011342763900756836,0
EG2,0.009758234024047852,3,-998.9473933009864,1.2157253261534207e-05,100,89,0.0016472339630126953,0.003936052322387695,0
EIGENALS,988.4692187309265,248379,1.0063408422086633e-09,9.676187363044694e-07,376089,376089,204.6731493473053,759.6034595966339,0
EIGENBLS,148.988511800766,37401,1.2436559990192039e-05,8.712418351301174e-07,56225,56225,30.550976753234863,114.68583726882935,0
EIGENCLS,253.0561957359314,58090,3.973903417732494e-10,7.88002095487882e-07,87585,87585,50.6043176651001,196.4691777229309,0
ENGVAL1,0.025083065032958984,17,5548.668419416205,8.184539200842643e-06,73,61,0.005886554718017578,0.012655019760131836,0
EXTROSNB,0.01299285888671875,44,3.98660884588526,9.544458124380222e-07,88,88,0.0018362998962402344,0.004578351974487305,0
FLETBV3M,0.06015443801879883,31,-240711.6074651031,1.652108743507852e-05,108,99,0.016259193420410156,0.033861398696899414,0
FLETCBV2,0.0009655952453613281,0,-0.5002681698025546,7.996001439813359e-08,1,1,0.00017571449279785156,0.00035643577575683594,0
FLETCHCR,1.4275391101837158,10892,3.15122206777995e-14,9.963871792524583e-07,16414,16414,0.23761510848999023,0.6103818416595459,0
FMINSRF2,0.3382694721221924,556,1.000024073044664,8.39084548861916e-07,767,767,0.05696725845336914,0.19086480140686035,0
FMINSURF,0.6415145397186279,1060,1.000000210933908,9.969193005743873e-07,1486,1486,0.11225271224975586,0.3773953914642334,0
FREUROTH,0.11071562767028809,43,608159.1890462596,0.00038598332761097254,237,217,0.025694608688354492,0.06633186340332031,0
GENHUMPS,13.952860116958618,17133,2.9902759509713388e-12,7.611174669326445e-07,25938,25938,3.565474510192871,7.998642206192017,0
JIMACK,2111.1584963798523,13718,0.8667935909390313,9.961912329453083e-07,20649,20649,702.3024985790253,1407.4389758110046,0
KSSLS,0.20412921905517578,10,4.9511040883451485e-15,1.666070249498419e-05,45,35,0.02367711067199707,0.17520451545715332,0
LIARWHD,0.016389846801757812,15,4.2727126666959677e-10,5.859423783612283e-07,44,44,0.0032219886779785156,0.008421897888183594,0
MOREBV,0.0007097721099853516,0,1.039739759079886e-11,1.5993596166132203e-07,1,1,8.678436279296875e-05,0.00023245811462402344,0
MSQRTALS,8.309271574020386,9202,4.152910274988846e-08,9.027926632383926e-07,13881,13881,1.6334004402160645,6.067853689193726,0
MSQRTBLS,4.3745245933532715,4888,1.2010679055636823e-08,8.79735536608051e-07,7360,7360,0.8698420524597168,3.1810388565063477,0
NCB20,14.612036228179932,4522,-1249.7921580660409,2.2731797256803133e-06,7322,7312,4.088388204574585,9.82668161392212,0
NCB20B,10.753960132598877,3117,7351.300595270159,4.171207162748103e-05,5464,5453,3.0144662857055664,7.231655597686768,0
NONCVXU2,46.62975811958313,74825,11584.7277618952,4.107394750541005e-06,113568,113560,9.1961350440979,27.213132619857788,0
NONDIA,0.010280370712280273,8,3.3849479101161277e-26,2.2002710764468242e-10,33,33,0.0018994808197021484,0.0046558380126953125,0
NONDQUAR,1.259035587310791,3091,4.700605504426261e-06,8.229181802657046e-07,6171,6171,0.22032999992370605,0.5162429809570312,0
PENALTY1,0.0022232532501220703,1,2.647220356307879e+16,454346936507.42694,20,20,0.00028014183044433594,0.0006132125854492188,0
POWELLSG,0.029622554779052734,66,3.199165750935664e-07,3.6892583603150146e-07,140,140,0.005041360855102539,0.011326313018798828,0
POWER,0.3102715015411377,696,1.133510276762484e-09,7.675710508368962e-07,1052,1052,0.04522848129272461,0.11988091468811035,0
QUARTC,0.01780843734741211,18,2.387711263960466e-06,5.653438654864176e-07,70,65,0.0027375221252441406,0.00533294677734375,0
SCHMVETT,0.05941414833068848,50,-14993.999999999996,2.2356016603541673e-06,87,87,0.01320648193359375,0.03571319580078125,0
SINQUAD,0.049095869064331055,22,-6757013.757333563,0.001798208731656814,119,107,0.011889219284057617,0.027518033981323242,0
SINQUAD2,2.934664011001587,2632,8.1731334083896e-06,1.7701978199247256e-07,6748,6744,0.6150085926055908,1.771529197692871,0
SPARSINE,28.61887264251709,42120,2.9510438797716255e-09,9.430892870807071e-07,63853,63853,4.318898916244507,18.373639345169067,0
SPARSQUR,0.05117630958557129,21,4.881671312925953e-09,4.804476190572473e-07,52,52,0.007029533386230469,0.035981178283691406,0
SPINLS,2.1887032985687256,3421,1.5900496308107266e-06,9.615546491606584e-07,9802,9797,0.3670353889465332,1.4559741020202637,0
SPMSRTLS,0.25189805030822754,339,1.2180651718514391e-11,8.411007483960502e-07,525,525,0.04986572265625,0.14448142051696777,0
SROSENBR,0.024409770965576172,45,7.938726339387026e-14,2.1220882828743015e-07,100,100,0.004090070724487305,0.010383129119873047,0
SSBRYBND,23.00961136817932,29959,5.953083601240626e-13,7.840856796369086e-07,45237,45237,4.488154888153076,14.249419689178467,0
SSCOSINE, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
TOINTGSS,0.023022890090942383,11,10.002000799680058,1.443425699518333e-07,32,32,0.005254030227661133,0.01284646987915039,0
TQUARTIC,0.01197504997253418,13,5.691834742560818e-14,9.543474842779523e-11,50,40,0.002328634262084961,0.005146026611328125,0
TRIDIA,1.7272448539733887,5851,1.3381463848680243e-13,8.083369221881246e-07,8824,8824,0.27745842933654785,0.6444015502929688,0
VAREIGVL,0.2518162727355957,296,7.124885694749365e-10,7.803330620611162e-07,459,459,0.04609990119934082,0.15509605407714844,0
WOODS,0.025260448455810547,59,7.248816045428159e-11,3.518299280802495e-07,120,120,0.004969596862792969,0.012596368789672852,0
