prob,t,n_it,f_opt,g_norm,fevals,gevals,tf,tg,to
ARWHEAD,0.023753881454467773,15,0.0,1.2875805062374727e-06,57.0,57,0.0046389102935791016,0.011814594268798828,0.0
BDQRTIC,0.06746745109558105,76,20006.256878433327,0.0020392615500645127,105.0,105,0.008996725082397461,0.026392698287963867,0.0
BOX,0.015354633331298828,10,-1864.5379265582594,9.831537972626592e-07,12.0,12,0.0030448436737060547,0.00703120231628418,0.0
BOXPOWER,0.13760828971862793,70,2.359206149716504e-11,9.402180029092827e-08,87.0,87,0.01745772361755371,0.03388357162475586,0.0
BROYDN3DLS,0.028058528900146484,46,0.7125279095861667,7.277245299148399e-07,53.0,53,0.003432035446166992,0.008115530014038086,0.0
BROYDN7D,1.6716153621673584,1699,1988.6217354658315,1.5310214189767635e-06,1808.0,1808,0.29142141342163086,0.7677319049835205,0.0
BROYDNBDLS,0.034218549728393555,31,2.9263085672236595e-13,6.819008894845854e-07,34.0,34,0.004887819290161133,0.013345718383789062,0.0
BRYBND,0.024304628372192383,31,2.9263085672236595e-13,6.819008894845854e-07,34.0,34,0.003580808639526367,0.0101470947265625,0.0
CHAINWOO,6.315579175949098,14066,766.1423659339433,6.569678884557617e-06,15172.0,15172,1.2803113460540771,3.0163064002990723,0.0
COSINE,0.021191835403442383,12,-9999.0,2.0791481277816562e-07,21.0,21,0.003910541534423828,0.009939908981323242,0.0
CRAGGLVY,0.07779908180236816,76,1688.2153097149146,2.9174845591952662e-05,102.0,102,0.014857053756713867,0.03531074523925781,0.0
CURLY10,46.79182887077332,45207,-1003162.9023116926,0.00028932129226068304,46510.0,46510,6.582604169845581,14.760481119155884,0.0
CURLY20,58.37761640548706,47818,-1003162.9023085989,0.0003086678349225047,49186.0,49186,9.133935451507568,21.737955570220947,0.0
CURLY30,81.4781126976013,57697,-1003162.902360929,0.0005846398813006554,59354.0,59354,13.95974087715149,35.312153816223145,0.0
DIXMAANA1,0.004008769989013672,11,1.000000000150982,6.906644644452529e-07,13.0,13,0.0006887912750244141,0.0014927387237548828,0.0
DIXMAANB,0.0038805007934570312,11,1.0000000000000053,8.248223358538689e-08,13.0,13,0.0007176399230957031,0.0016429424285888672,0.0
DIXMAANC,0.004609823226928711,13,1.000000000000009,9.546632291816399e-08,15.0,15,0.0008554458618164062,0.0019843578338623047,0.0
DIXMAAND,0.00517582893371582,15,1.0000000000000004,3.1826638695604475e-08,17.0,17,0.0009586811065673828,0.002225637435913086,0.0
DIXMAANE1,0.0682225227355957,299,1.0000000005776797,7.934429491231406e-07,310.0,310,0.011042356491088867,0.024636030197143555,0.0
DIXMAANF,0.0611565113067627,205,1.0000000004912881,8.475192262012117e-07,213.0,213,0.011364936828613281,0.02652287483215332,0.0
DIXMAANG,0.06418037414550781,214,1.0000000011218846,9.367158120476299e-07,221.0,221,0.01176595687866211,0.02800750732421875,0.0
DIXMAANH,0.06104278564453125,216,1.0000000008893244,9.854957039426603e-07,222.0,222,0.011372089385986328,0.02602982521057129,0.0
DIXMAANI1,0.926478624343872,3896,1.0000001735476642,9.40616481650955e-07,4008.0,4008,0.15355896949768066,0.3464233875274658,0.0
DIXMAANJ,0.3601541519165039,1256,1.0000002674599475,9.49834820113007e-07,1294.0,1294,0.067169189453125,0.1565382480621338,0.0
DIXMAANK,0.27317261695861816,959,1.0000003591497773,8.808080950322654e-07,983.0,983,0.050328969955444336,0.11872005462646484,0.0
DIXMAANL,0.26039671897888184,911,1.000000318559008,8.845848033849561e-07,937.0,937,0.04809308052062988,0.11329460144042969,0.0
DIXMAANM1,0.9397559165954591,3883,1.0000001756178125,8.435313381400632e-07,3996.0,3996,0.15593290328979492,0.3450961112976074,0.0
DIXMAANN,0.2083454132080078,745,1.0000003002729343,9.963236241568409e-07,769.0,769,0.03869342803955078,0.08918499946594238,0.0
DIXMAANO,0.1833963394165039,660,1.000000294670855,9.177392751661246e-07,675.0,675,0.03378605842590332,0.0783083438873291,0.0
DIXMAANP,0.17150592803955078,618,1.000000288233648,8.27435587494279e-07,634.0,634,0.03168940544128418,0.07337784767150879,0.0
DIXON3DQ,24.880664587020874,29631,6.922360977625677e-06,9.540723007184226e-07,30468.0,30468,2.695178508758545,4.930149555206299,0.0
DQDRTIC,0.01105952262878418,13,8.346476904811847e-17,8.818335679440306e-08,21.0,21,0.0019328594207763672,0.004320621490478516,0.0
DQRTIC,0.02420806884765625,49,1.3381438021937328e-06,6.207826059837368e-07,57.0,57,0.0027289390563964844,0.00475621223449707,0.0
EDENSCH,0.014557838439941406,32,12003.28459202076,1.0640790062410588e-06,53.0,53,0.0030930042266845703,0.00741887092590332,0.0
EG2,0.005267858505249024,4,-998.947393300979,1.457068873903674e-06,45.0,45,0.0010497570037841797,0.0028944015502929688,0.0
EIGENALS,68.70602655410768,24771,1.3176071899394163e-10,9.1510285069486e-07,25516.0,25516,14.135724782943726,51.93192958831787,0.0
EIGENBLS,49.08794593811035,17563,1.1712270947843982e-08,8.61894687277192e-07,17963.0,17963,9.996667623519897,37.20309042930603,0.0
EIGENCLS,37.28285646438599,12239,3.269123040161646e-11,9.191396200851632e-07,12646.0,12646,7.497101545333862,28.400914907455444,0.0
ENGVAL1,0.015180826187133787,20,5548.6684194158515,8.959947797038126e-07,22.0,22,0.0021944046020507812,0.0049250125885009766,0.0
EXTROSNB,1.174884796142578,11685,1.6593814097543367e-10,8.928300624880107e-07,16021.0,16021,0.18991374969482422,0.4537510871887207,0.0
FLETBV3M,0.08303666114807129,47,-249843.07683943355,2.2935127817325673e-06,107.0,107,0.01826620101928711,0.04437756538391113,0.0
FLETCBV2,0.0009472370147705078,0,-0.5002681698025546,7.996001439813359e-08,1.0,1,0.00018262863159179688,0.00034499168395996094,0.0
FLETCHCR,0.5388126373291016,4930,2.886703150955043e-15,3.4804229475746186e-07,5805.0,5805,0.09534072875976562,0.22269654273986816,0.0
FMINSRF2,0.2339515686035156,316,1.0000240825116167,7.703789876174194e-07,322.0,322,0.02842545509338379,0.08189201354980469,0.0
FMINSURF,0.3658130168914795,435,1.0000000011332233,9.394617955652881e-07,449.0,449,0.04605269432067871,0.13193058967590332,0.0
FREUROTH,0.02414226531982422,21,608159.1890463316,0.0007348392459043396,40.0,40,0.004401683807373047,0.011858463287353516,0.0
GENHUMPS,8.754801511764526,8341,1.1265421443697454e-11,6.727264005830454e-07,10807.0,10807,1.9357125759124756,4.070946455001831,0.0
JIMACK,600.626930475235,6060,0.8667933133241008,8.777862223534194e-07,6241.0,6241,199.7493977546692,399.77729058265686,0.0
KSSLS,0.08934473991394043,12,5.514312230444431e-20,9.57391240573116e-10,19.0,19,0.010405778884887695,0.07729959487915039,0.0
LIARWHD,0.01603412628173828,24,1.3071774513037454e-21,1.218117162693471e-09,28.0,28,0.002198934555053711,0.0051958560943603516,0.0
MOREBV,0.0006749629974365233,0,1.039739759079886e-11,1.5993596166132203e-07,1.0,1,7.82012939453125e-05,0.00022411346435546875,0.0
MSQRTALS,2.098764181137085,3186,7.486774137752072e-10,7.73927188827798e-07,3278.0,3278,0.40268564224243164,1.543766975402832,0.0
MSQRTBLS,1.533586502075195,2401,2.8569074522195705e-10,9.75008877848876e-07,2471.0,2471,0.2951040267944336,1.1238913536071777,0.0
NCB20,1.1184396743774414,311,-1202.372868402641,3.482311176648845e-06,496.0,496,0.2933924198150635,0.6974217891693115,0.0
NCB20B,3.328608989715576,1363,7351.300597852593,9.656065214080911e-06,1519.0,1519,0.856060266494751,2.0298616886138916,0.0
NONCVXU2,9.115862369537354,13613,11584.868835310732,1.6298563965122526e-06,13984.0,13984,1.302649736404419,3.424363613128662,0.0
NONDIA,0.017371416091918945,21,9.784603923951908e-19,7.565031698826007e-07,25.0,25,0.002143383026123047,0.004857301712036133,0.0
NONDQUAR,1.5909173488616943,3340,7.991155920674307e-07,8.339078059795553e-07,3754.0,3754,0.1686704158782959,0.32095980644226074,0.0
PENALTY1,0.013944864273071287,63,0.009686175527371901,1.485904335140847e-07,75.0,75,0.002180814743041992,0.004504680633544922,0.0
