-----------------------------------------------------------
run_test.sh started on  Sat May 3 21:36:01 CEST 2025
-----------------------------------------------------------
| Methd | Problem    | n.vars     | time        | n.it       | fopt             | gnorm            | nfunc      | ngrad      |
| Hager | ARGLINA    | 1000       | 0.012051    | 1          | 1.0000000e+02    | 3.2951419e-13    | 0          | 2          |
| Hager | ARGLINB    | 1000       | 77.308746   | 3013       | 2.7462517e+02    | 2.6705127e-02    | 22104      | 25346      |
| Hager | ARGLINC    | 1000       | 0.871869    | 25         | 2.7612517e+02    | 3.4048224e-03    | 267        | 266        |
| Hager | ARGTRIGLS  | 1000       | 15.939464   | 1563       | 7.6116641e-11    | 9.7688399e-04    | 3127       | 1564       |
| Hager | BDEXP      | 5000       | 0.010505    | 4          | 3.3751744e-01    | 6.0994162e-04    | 4          | 3          |
| Hager | BOX        | 10000      | 0.013717    | 6          | -1.8645379e+03   | 3.7058806e-05    | 16         | 10         |
| Hager | BOXPOWER   | 10000      | 0.012189    | 19         | 1.2118837e-09    | 4.5504099e-04    | 49         | 30         |
| Hager | BROWNAL    | 1000       | 0.024787    | 1          | 1.3461359e-10    | 6.7199545e-04    | 3          | 2          |
| Hager | BROYDN3DLS | 5000       | 0.008338    | 21         | 5.1803517e-08    | 6.9050789e-04    | 43         | 22         |
| Hager | BROYDNBDLS | 5000       | 0.018262    | 25         | 4.3551632e-07    | 9.9098896e-04    | 55         | 30         |
| Hager | CHEBYQAD   | 1000       | 284.179588  | 1835       | 7.9457250e-03    | 8.5884525e-04    | 3681       | 1840       |
| Hager | CHNRSNBM   | 1000       | 0.937085    | 3258       | 4.7971243e-07    | 6.8563291e-04    | 6717       | 3320       |
| Hager | CLPLATEA   | 5041       | 0.034099    | 6          | -1.2556982e-02   | 2.3056067e-04    | 8          | 6          |
| Hager | CURLY30    | 10000      | 50.979980   | 1970       | -1.0031628e+06   | 8.4056704e-04    | 3938       | 1993       |
| Hager | CVXBQP1    | 10000      | 0.003931    | 21         | 2.2502250e+06    | 2.7755576e-17    | 0          | 19         |
| Hager | CYCLIC3LS  | 100002     | 11.352534   | 589        | 3.2279605e-04    | 5.0913209e-04    | 1329       | 866        |
| Hager | CYCLOOCFLS | 29996      | 2.363586    | 494        | 5.0475399e-05    | 8.6625907e-04    | 1056       | 527        |
| Hager | CYCLOOCTLS | 30000      | 5.033730    | 355        | 4.4164027e-05    | 9.5593307e-04    | 865        | 389        |
| Hager | DEGDIAG    | 100001     | 0.014236    | 3          | 1.6666583e+04    | 0.0000000e+00    | 0          | 1          |
| Hager | DEGTRID    | 100001     | 0.219199    | 6          | -9.9999500e+04   | 1.2961869e-04    | 0          | 5          |
| Hager | ARWHEAD    | 5000       | 0.004770    | 7          | 0.0000000e+00    | 9.9095255e-07    | 15         | 8          |
| Hager | BDQRTIC    | 5000       | 0.073543    | 34         | 2.0006257e+04    | 4.0270026e-05    | 82         | 51         |
| Hager | BROYDN7D   | 5000       | 1.115520    | 685        | 1.8454109e+03    | 2.9157513e-04    | 1814       | 743        |
| Hager | BRYBND     | 5000       | 0.018905    | 25         | 4.3551632e-07    | 9.9098896e-04    | 55         | 30         |
| Hager | CHAINWOO   | 4000       | 0.281027    | 103        | 4.5727672e+00    | 8.6118655e-05    | 214        | 116        |
| Hager | CLPLATEB   | 5041       | 0.019156    | 2          | -5.0905806e-03   | 1.2282783e-04    | 3          | 2          |
| Hager | CLPLATEC   | 5041       | 3.164262    | 99         | -2.0031848e-03   | 4.4781296e-04    | 116        | 178        |
| Hager | COSINE     | 10000      | 0.023316    | 8          | -9.9990000e+03   | 2.2258820e-04    | 33         | 26         |
| Hager | CRAGGLVY   | 5000       | 0.081674    | 23         | 1.6882153e+03    | 2.8949225e-05    | 51         | 37         |
| Hager | CURLY10    | 10000      | 4.701664    | 5000       | -1.0031628e+06   | 8.6802455e-03    | 10010      | 5010       |
| Hager | CURLY20    | 10000      | 12.852483   | 5000       | -1.0031628e+06   | 3.2074675e-02    | 10012      | 5014       |
| Hager | DEGTRID2   | 100001     | 0.014848    | 3          | -9.9999500e+04   | 0.0000000e+00    | 0          | 1          |
| Hager | DIAGPQB    | 1000       | 0.025442    | 5          | -8.2196728e+02   | 1.5836332e-06    | 0          | 5          |
| Hager | DIAGPQE    | 1000       | 0.026162    | 5          | -3.7427354e+00   | 4.8119808e-10    | 0          | 5          |
| Hager | DIAGPQT    | 1000       | 0.028322    | 5          | -5.0204401e+02   | 8.6585334e-07    | 0          | 5          |
| Hager | DIXMAANA1  | 3000       | 0.002907    | 6          | 1.0000000e+00    | 3.3727976e-06    | 13         | 7          |
| Hager | DIXMAANB   | 3000       | 0.002781    | 5          | 1.0000000e+00    | 1.1978894e-05    | 11         | 6          |
| Hager | DIXMAANC   | 3000       | 0.003291    | 5          | 1.0000000e+00    | 4.8452515e-05    | 11         | 6          |
| Hager | DIXMAAND   | 3000       | 0.002711    | 5          | 1.0000010e+00    | 9.8486511e-04    | 11         | 6          |
| Hager | DIXMAANE1  | 3000       | 0.030881    | 23         | 1.0000000e+00    | 1.5038177e-11    | 41         | 30         |
| Hager | DIXMAANF   | 3000       | 0.007502    | 23         | 1.0008773e+00    | 8.9949901e-04    | 47         | 24         |
| Hager | DIXMAANG   | 3000       | 0.006365    | 17         | 1.0018579e+00    | 9.7360488e-04    | 35         | 18         |
| Hager | DIXMAANH   | 3000       | 0.006048    | 16         | 1.0016700e+00    | 9.0901278e-04    | 33         | 17         |
| Hager | DIXMAANI1  | 3000       | 0.029610    | 16         | 1.0000000e+00    | 3.0871179e-06    | 33         | 17         |
| Hager | DIXMAANJ   | 3000       | 0.009961    | 22         | 1.0006616e+00    | 5.7304608e-04    | 44         | 23         |
| Hager | DIXMAANK   | 3000       | 0.010955    | 26         | 1.0001385e+00    | 3.8024683e-04    | 52         | 27         |
| Hager | DIXMAANL   | 3000       | 0.007138    | 23         | 1.0009582e+00    | 9.0248507e-04    | 47         | 24         |
| Hager | DIXMAANM1  | 3000       | 0.030601    | 16         | 1.0000000e+00    | 9.6028480e-06    | 33         | 17         |
| Hager | DIXMAANN   | 3000       | 0.011613    | 29         | 1.0030881e+00    | 9.8500897e-04    | 58         | 30         |
| Hager | DIXMAANO   | 3000       | 0.012459    | 27         | 1.0017077e+00    | 7.2149929e-04    | 57         | 31         |
| Hager | DIXMAANP   | 3000       | 0.011936    | 23         | 1.0018662e+00    | 8.4769379e-04    | 46         | 24         |
| Hager | DIXON3DQ   | 10000      | 0.048855    | 3          | 4.3971493e-12    | 6.9317794e-08    | 0          | 5          |
| Hager | DQDRTIC    | 5000       | 0.041746    | 4          | -4.9737992e-13   | 1.0047110e-09    | 0          | 7          |
| Hager | DQRTIC     | 5000       | 0.006047    | 13         | 2.1475407e-03    | 4.6042505e-04    | 27         | 14         |
| Hager | EDENSCH    | 2000       | 0.007616    | 19         | 1.2003285e+04    | 8.9588793e-04    | 44         | 25         |
| Hager | EIGENALS   | 2550       | 15.371084   | 5000       | 5.6642712e-04    | 1.4609204e-02    | 10006      | 5007       |
| Hager | EIGENBLS   | 2550       | 3.441805    | 1108       | 1.4912128e-02    | 9.9779792e-04    | 2217       | 1109       |
| Hager | EIGENCLS   | 2652       | 16.446056   | 5000       | 6.1083026e-06    | 3.1377323e-03    | 10001      | 5001       |
| Hager | ENGVAL1    | 5000       | 0.010089    | 15         | 5.5486684e+03    | 4.7762046e-04    | 33         | 18         |
| Hager | EXTROSNB   | 1000       | 0.048142    | 118        | 2.9963550e-04    | 6.5265750e-04    | 241        | 135        |
| Hager | FLETBV3M   | 5000       | 0.040402    | 22         | -2.4860272e+05   | 1.4374348e-05    | 48         | 30         |
| Hager | FLETCBV2   | 5000       | 0.003499    | 0          | -5.0026817e-01   | 7.9960014e-08    | 1          | 1          |
| Hager | FLETCHCR   | 1000       | 0.053385    | 31         | 2.4658210e-07    | 5.7025509e-04    | 69         | 38         |
| Hager | FMINSRF2   | 5625       | 3.565846    | 95         | 1.0001140e+00    | 2.6498588e-04    | 232        | 98         |
| Hager | FMINSURF   | 5625       | 0.129192    | 243        | 1.0008061e+00    | 9.4975114e-04    | 487        | 244        |
| Hager | FREUROTH   | 5000       | 0.018733    | 21         | 6.0815919e+05    | 1.1020766e-04    | 52         | 36         |
| Hager | GENHUMPS   | 5000       | 1.240327    | 388        | 1.6421040e-06    | 3.2923944e-04    | 935        | 514        |
| Hager | GENROSE    | 1000       | 0.356463    | 1678       | 1.0000000e+00    | 6.7879832e-04    | 3749       | 1783       |
| Hager | GENROSEB   | 1000       | 0.238790    | 1259       | 3.1939449e+03    | 3.5527137e-15    | 1508       | 1162       |
| Hager | GRIDGENA   | 6218       | 0.064449    | 7          | 2.3520000e+04    | 4.6875172e-04    | 9          | 6          |
| Hager | HILBERTA   | 1000       | 0.016300    | 7          | 2.1451984e-03    | 9.7844154e-04    | 0          | 9          |
| Hager | HILBERTB   | 1000       | 0.011544    | 4          | 8.5481797e-08    | 5.5536616e-04    | 0          | 6          |
| Hager | INDEFM     | 100000     | 4.985162    | 100        | -9.6687211e+06   | 1.3132080e-06    | 260        | 186        |
| Hager | INTEQNELS  | 1002       | 0.041915    | 3          | 4.9915578e-06    | 2.4320965e-04    | 7          | 4          |
| Hager | JNLBRNG1   | 9604       | 0.041723    | 48         | -1.8045787e-01   | 9.4809430e-04    | 0          | 39         |
| Hager | JNLBRNG2   | 9604       | 0.074433    | 46         | -4.1486492e+00   | 1.6959234e-04    | 0          | 38         |
| Hager | JNLBRNGA   | 9604       | 0.039301    | 41         | -2.7086148e-01   | 9.1930145e-04    | 0          | 33         |
| Hager | JNLBRNGB   | 9604       | 3.130071    | 288        | -6.3006832e+00   | 3.1035378e-04    | 0          | 308        |
| Hager | KSSLS      | 1000       | 0.165417    | 10         | 1.8745614e-15    | 1.0354661e-08    | 26         | 16         |
| Hager | LIARWHD    | 5000       | 0.009342    | 18         | 1.5581637e-16    | 3.4757910e-06    | 40         | 22         |
| Hager | LINVERSE   | 1999       | 0.012802    | 26         | 6.8200000e+02    | 1.1368689e-04    | 36         | 26         |
| Hager | LMINSURF   | 5625       | 2.233115    | 136        | 9.0057320e+00    | 9.4220548e-04    | 279        | 140        |
| Hager | LUKSAN11LS | 1000       | 0.877348    | 5000       | 4.0323469e+02    | 4.4102888e+00    | 9343       | 5020       |
| Hager | LUKSAN12LS | 998        | 0.050130    | 38         | 2.0061069e+04    | 4.3481507e-04    | 89         | 63         |
| Hager | LUKSAN13LS | 998        | 0.039601    | 18         | 2.6246804e+05    | 8.8392701e-04    | 43         | 27         |
| Hager | LUKSAN14LS | 998        | 0.042059    | 36         | 1.3015102e+03    | 9.5187371e-04    | 90         | 41         |
| Hager | LUKSAN15LS | 1000       | 0.018449    | 19         | 3.6352627e+01    | 6.9353790e-04    | 47         | 28         |
| Hager | LUKSAN16LS | 1000       | 0.010503    | 21         | 3.6352627e+01    | 9.5720000e-04    | 43         | 22         |
| Hager | LUKSAN17LS | 1000       | 0.101632    | 28         | 5.0221935e+00    | 1.2407971e-06    | 47         | 31         |
| Hager | LUKSAN21LS | 1000       | 0.338791    | 1413       | 2.0075905e-04    | 9.9710561e-04    | 2922       | 1470       |
| Hager | LUKSAN22LS | 1000       | 0.057218    | 36         | 8.9689405e+03    | 4.9260164e-04    | 69         | 38         |
| Hager | MANCINO    | 1000       | 3.387192    | 12         | 1.7978844e-14    | 7.7914721e-04    | 31         | 20         |
