-----------------------------------------------------------
run_test.sh started on  Sun May 4 11:33:10 CEST 2025
-----------------------------------------------------------
| Methd | Problem    | n.vars     | time        | n.it       | fopt             | gnorm            | nfunc      | ngrad      |
| Hager (no hess) | ARGLINA    | 1000       | 0.004785    | 1          | 1.0000000e+02    | 3.2951419e-13    | 0          | 2          |
| Hager (no hess) | ARGLINB    | 1000       | 89.546364   | 3013       | 2.7462517e+02    | 2.6705127e-02    | 22104      | 25346      |
| Hager (no hess) | ARGLINC    | 1000       | 0.972363    | 25         | 2.7612517e+02    | 3.4048224e-03    | 267        | 266        |
| Hager (no hess) | ARGTRIGLS  | 1000       | 17.482834   | 1563       | 7.6116641e-11    | 9.7688399e-04    | 3127       | 1564       |
| Hager (no hess) | BDEXP      | 5000       | 0.013269    | 4          | 3.3751744e-01    | 6.0994162e-04    | 4          | 3          |
| Hager (no hess) | BOX        | 10000      | 0.015479    | 6          | -1.8645379e+03   | 3.7058806e-05    | 16         | 10         |
| Hager (no hess) | BOXPOWER   | 10000      | 0.013488    | 19         | 1.2118837e-09    | 4.5504099e-04    | 49         | 30         |
| Hager (no hess) | BROWNAL    | 1000       | 0.021339    | 1          | 1.3461359e-10    | 6.7199545e-04    | 3          | 2          |
| Hager (no hess) | BROYDN3DLS | 5000       | 0.009571    | 21         | 5.1803517e-08    | 6.9050789e-04    | 43         | 22         |
| Hager (no hess) | BROYDNBDLS | 5000       | 0.021450    | 25         | 4.3551632e-07    | 9.9098896e-04    | 55         | 30         |
| Hager (no hess) | CHEBYQAD   | 1000       | 309.339448  | 1835       | 7.9457250e-03    | 8.5884525e-04    | 3681       | 1840       |
| Hager (no hess) | CHNRSNBM   | 1000       | 1.518780    | 2807       | 3.3906703e-10    | 4.9407735e-04    | 5894       | 2896       |
| Hager (no hess) | CLPLATEA   | 5041       | 0.034381    | 6          | -1.2556982e-02   | 2.3056067e-04    | 8          | 6          |
| Hager (no hess) | CURLY30    | 10000      | 66.156637   | 3923       | -1.0031629e+06   | 7.1220471e-04    | 7814       | 3984       |
